LinkID,RecID,q1c_relation,q1d_date,State,q2d_date,q2e_houseID,q2e_visitNo,q2e_tblRecord,q1_pumpGas,q2_spill,q3_sit,q4_open,q5_garage,q6_make,q6_model,q6_year,q7_clean,q8_start,q9_grill,q10_tobacco,q11_perfume,q12_airfreshner,q13_travel,q13_totalmins,q14_indoors,q14_totalmins,q15_vehicle,q15_totalmins,q16_swimming,q16_totalmins,q17_cleaning,q17_totalmins,q18_workshop,q18_totalmins,q19_windows,q19_totalmins,q20_bath,q20_totalmins,q21_shower,q21_totalmins,q22_shower,q22_totalmins,q23_markers,q23_totalmins,q24_incense,q24_totalmins,q25_centralair,q25_temperature,q25_type,q25_totalmins,q26_windowAC,q26_type,q26_totalmins,q26_rooms,q27_atticfan,q27_totalmins,q28_evapcooler,q28_totalmins,q29_fan,q29_totalmins,q30_windowfan,q30_totalmins,q31_exhaustfan,q31_totalmins,q32_woodstove,q32_totalmins,q32b_fumes,q32b_totalmins,q33_oilfurnace,q33_totalmins,q33b_fumes,q33b_totalmins,q34_keroseneheater,q34_totalmins,q34b_fumes,q34b_totalmins,q35_unventedgas,q35_totalmins,q35b_fumes,q35b_totalmins,q36_fireplace,q36_totalmins,q36b_fumes,q36b_totalmins,q37_oven,q37_totalmins,q38_centralheat,q38_totalmins,q39_elecprecip,q39_totalmins,q40_humidifier,q40_totalmins,q41_otherair,q41a_HEPA,q41a_totalmins,q41b_odorreducer,q41b_totalmins,q41c_other,q41c_desc,q41c_totalmins,q42_dishwasher,q42_totalmins,q43_clotheswasher,q43_totalmins,q44_clothesdryer,q44_totalmins,q45_drycleaning,q45_totalmins,q46_wax,q46_totalmins,q47_polishremover,q47_totalmins,q48_paints,q48b_you,q48b_totalmins,q48c_other,q48c_totalmins,q49_glue,q49b_you,q49b_totalmins,q49c_other,q49c_totalmins,q50_gasmower,q50b_you,q50b_totalmins,q50c_other,q50c_totalmins,q51_chainsaw,q51b_you,q51b_totalmins,q51c_other,q51c_totalmins,q52_sander,q52b_you,q52b_totalmins,q52c_other,q52c_totalmins,q53_pesticide,q53b_you,q53b_totalmins,q53c_other,q53c_totalmins,q54_vacuuming,q54b_you,q54b_totalmins,q54c_other,q54c_totalmins,q55_sweeping,q55b_you,q55b_totalmins,q55c_other,q55c_totalmins,q56_dusting,q56b_you,q56b_totalmins,q56c_other,q56c_totalmins,q57_cleaning,q57_list,q57b_you,q57b_totalmins,q57c_other,q57c_totalmins,q58_gardening,q58b_you,q58b_totalmins,q58c_other,q58c_totalmins,q59_woodworking,q59b_you,q59b_totalmins,q59c_other,q59c_totalmins,q60_welding,q60b_you,q60b_totalmins,q60c_other,q60c_totalmins,q61_cookinginside,q61b_you,q61b_totalmins,q61c_other,q61c_totalmins,q61d_exhaustfan,q61d_totalmins,q62_cookingoutside,q62b_you,q62b_totalmins,q62c_other,q62c_totalmins,q62_distance,q63_parkvehicle,q63_totalmins,q63b_detached,q63b_totalmins,q63c_carport,q63c_totalmins,q64_startvehicle,q64_totalmins,q64b_detached,q64b_totalmins,q64c_carport,q64c_totalmins,q65_dieselparked,q66_neardiesel
CA042130,62,NA,0000-00-00,CA,0000-00-00,CA052,1,62,N,N,N,N,N,NA,NA,0,N,N,N,N,N,Y,N,0,N,0,N,0,N,0,N,0,N,0,Y,15,Y,15,N,0,Y,10,N,0,N,0,N,0,N,0,N,N,0,NA,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,N,0,Y,30,Y,40,N,0,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,Y,5,N,0,Y,WINDEX,Y,5,N,0,Y,Y,2,N,0,N,N,0,N,0,N,N,0,N,0,Y,Y,10,N,0,N,0,N,N,0,N,0,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N
CA043130,63,NA,0000-00-00,CA,0000-00-00,CA053,1,63,N,N,N,N,N,NA,NA,0,N,N,N,N,Y,N,Y,5,N,0,N,0,N,0,N,0,N,0,Y,960,N,0,Y,15,Y,40,N,0,N,0,N,0,N,0,N,N,0,NA,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,Y,10,N,0,N,N,0,N,0,N,N,0,N,0,N,NA,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,15,N,0,N,N,0,N,0,0,Y,0,N,0,N,0,Y,0,N,0,N,0,N,N
CA044130,64,MOTHER,0000-00-00,CA,0000-00-00,CA054,1,64,Y,N,N,N,N,NA,NA,0,N,N,N,N,Y,Y,Y,150,N,0,N,0,N,0,Y,10,N,0,Y,360,Y,20,N,0,Y,40,N,0,N,0,N,0,N,0,N,N,0,NA,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,N,0,Y,120,Y,120,N,0,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,30,Y,N,0,Y,30,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,SPRAY-TYPE,N,0,Y,5,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,10,N,0,N,N,0,N,0,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N
CA045130,65,NA,0000-00-00,CA,0000-00-00,CA055,1,65,N,N,N,N,N,NA,NA,0,N,N,N,N,Y,Y,Y,10,N,0,N,0,N,0,Y,30,N,0,Y,1440,N,0,N,0,N,0,Y,2,N,0,N,0,N,0,N,N,0,NA,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,Y,5,N,0,N,N,0,N,0,N,N,0,N,0,Y,Y,5,N,0,N,NA,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,Y,30,N,0,N,0,N,N,0,N,0,0,N,0,N,0,Y,2880,N,0,N,0,Y,0,N,N
CA046130,66,NA,0000-00-00,CA,0000-00-00,CA056,1,66,N,N,N,N,N,CHEVROLET,"PICKUP C1500",1988,N,N,N,N,Y,Y,Y,80,N,0,N,0,N,0,N,0,Y,60,Y,1200,N,0,Y,40,Y,80,N,0,N,0,N,0,N,0,N,N,0,NA,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,Y,N,0,Y,2880,N,NA,0,N,0,Y,180,Y,240,N,0,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,15,Y,N,0,Y,5,N,N,0,N,0,N,NA,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,0,N,N,0,N,0,0,N,0,N,0,N,0,N,0,N,0,N,0,N,Y
CA047130,67,NA,0000-00-00,CA,0000-00-00,CA057,1,67,N,N,N,N,Y,SATURN,SL2,1994,N,N,N,N,Y,Y,Y,160,N,0,N,0,N,0,Y,20,N,0,Y,2880,N,0,Y,30,Y,30,Y,20,Y,10,N,0,N,0,N,N,0,NA,N,0,N,0,Y,720,N,0,Y,30,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,N,0,Y,70,Y,210,N,0,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,270,Y,N,0,Y,60,N,N,0,N,0,N,N,0,N,0,Y,Y,15,N,0,N,N,0,N,0,N,N,0,N,0,Y,NA,N,0,Y,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,0,N,N,0,N,0,0,N,0,N,0,N,0,N,0,N,0,N,0,Y,N
CA048130,69,NA,0000-00-00,CA,0000-00-00,CA058,1,69,Y,N,N,Y,N,CHEVROLET,"ASTRO VAN",1986,N,N,N,N,Y,N,Y,405,N,0,N,0,N,0,Y,20,N,0,Y,2880,N,0,Y,30,Y,30,N,0,Y,48,N,0,N,0,N,N,0,NA,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,N,0,N,0,N,0,N,0,Y,20,N,0,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,20,Y,N,0,Y,5,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,10,N,N,0,N,0,Y,"RAINBOW BLEACH",N,0,Y,5,Y,Y,10,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,0,N,N,0,N,0,0,N,0,N,0,Y,0,N,0,N,0,Y,0,N,N
CA049130,70,NA,0000-00-00,CA,0000-00-00,CA059,1,70,N,N,N,N,N,NA,NA,0,N,N,N,N,N,N,Y,272,N,0,N,0,N,0,N,0,N,0,Y,2880,N,0,Y,30,Y,60,N,0,N,0,N,0,N,0,N,N,0,NA,N,0,N,0,Y,720,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,60,Y,N,0,Y,1,N,NA,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,90,N,0,N,N,0,N,0,0,N,0,N,0,Y,2880,N,0,N,0,Y,0,N,Y
CA050130,73,WIFE,0000-00-00,CA,0000-00-00,CA060,1,73,Y,N,N,N,N,FORD,"350 VAN",1999,N,N,N,N,Y,N,Y,318,N,0,N,0,N,0,Y,420,N,0,Y,180,N,0,Y,20,Y,40,N,0,N,0,Y,0,D,720,N,N,0,NA,N,0,N,0,N,0,N,0,Y,20,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,N,0,Y,20,Y,40,N,0,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,20,Y,N,0,Y,20,N,N,0,N,0,Y,WINDEX,Y,420,Y,420,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,0,N,N,0,N,0,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N
CA051130,78,NA,0000-00-00,CA,0000-00-00,CA061,1,78,N,N,N,Y,N,TOYOTA,4RUNNER,1990,N,N,N,N,N,Y,Y,120,N,0,N,0,Y,120,N,0,N,0,Y,1110,Y,60,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,NA,N,0,N,0,Y,240,N,0,Y,100,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,N,0,Y,90,Y,135,N,0,N,0,Y,10,N,N,0,N,0,Y,Y,5,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,15,Y,N,0,Y,15,N,N,0,N,0,Y,"LYSOL, AJAX, WINDEX",N,0,Y,60,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,0,N,N,0,N,0,0,Y,0,N,0,N,0,Y,0,N,0,N,0,N,Y
CA052130,81,NA,0000-00-00,CA,0000-00-00,CA062,1,81,Y,N,N,Y,N,DODGE,"RAM VAN",1989,N,N,N,N,Y,N,Y,154,N,0,N,0,N,0,Y,5,N,0,Y,2880,N,0,Y,30,Y,140,Y,30,N,0,N,0,N,0,N,N,0,NA,N,0,N,0,Y,2880,N,0,Y,30,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,N,0,Y,45,Y,120,N,0,N,0,N,0,Y,Y,10,Y,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,Y,20,N,0,Y,Y,10,N,0,N,N,0,N,0,Y,"LYSOL KITCHEN CLEANER",Y,5,Y,60,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,Y,30,Y,30,Y,30,N,N,0,N,0,0,N,0,N,0,N,0,N,0,N,0,N,0,N,Y
CA053130,137,NA,0000-00-00,CA,0000-00-00,CA063,1,137,N,N,Y,Y,N,FORD,ESCORT,1993,N,N,N,N,Y,N,Y,330,N,0,N,0,N,0,Y,20,N,0,Y,480,N,0,Y,20,Y,60,Y,1,N,0,N,0,N,0,N,N,0,NA,N,0,N,0,Y,240,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,N,0,Y,60,Y,100,Y,1440,N,0,N,0,N,N,0,N,0,Y,Y,5,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,Y,30,N,0,N,N,0,N,0,N,NA,N,0,N,0,Y,Y,60,N,0,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,15,N,0,N,N,0,N,0,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N
CA054130,138,NA,0000-00-00,CA,0000-00-00,CA064,1,138,N,N,N,N,N,TOYOTA,CAMRY,1989,N,N,N,N,Y,N,Y,201,N,0,Y,5,N,0,N,0,N,0,Y,2880,N,0,Y,30,Y,80,Y,1,N,0,N,0,N,0,N,N,0,NA,N,0,N,0,Y,2880,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,N,0,Y,60,Y,120,N,0,N,0,N,0,Y,Y,1,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,Y,0,N,0,Y,Y,5,N,0,N,N,0,N,0,Y,"DISHWASHING LIQUID",Y,40,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,Y,60,N,0,N,0,N,N,0,N,0,0,N,0,N,0,N,0,N,0,N,0,N,0,N,Y
