,aqi_co
455637,safe
214867,safe
404909,safe
395206,safe
431756,safe
286456,safe
185081,safe
333931,safe
297912,safe
23711,safe
10494,safe
560462,safe
467062,safe
42458,safe
308248,safe
566687,safe
45869,safe
319746,safe
470637,safe
151426,safe
191007,safe
494087,safe
551287,safe
122284,safe
11021,safe
351212,safe
405553,safe
267035,safe
436274,safe
569081,safe
20309,safe
430906,safe
55908,safe
20998,safe
258609,safe
178475,safe
172640,safe
292557,safe
468737,safe
6385,safe
333421,safe
565814,safe
447437,safe
348574,safe
38834,safe
328478,safe
258490,safe
1780,safe
166928,safe
248824,safe
478287,safe
440333,safe
350823,safe
286301,safe
286420,safe
231064,safe
532812,safe
133533,safe
70660,safe
43010,safe
159646,safe
203761,safe
564626,safe
40226,safe
1661,safe
464837,safe
269174,safe
93909,safe
263773,safe
17825,safe
46762,safe
547062,safe
6706,safe
109349,safe
12698,safe
197454,safe
80997,safe
183247,safe
239090,safe
521662,safe
380550,safe
466162,safe
368964,safe
163504,safe
28197,safe
102090,safe
155574,safe
486087,safe
156999,safe
14530,safe
402614,safe
170761,safe
216728,safe
72683,safe
100949,safe
298082,safe
133652,safe
197869,safe
416711,safe
191876,safe
422102,safe
28114,safe
153126,safe
414671,safe
563663,safe
142739,safe
297353,safe
10458,safe
415642,safe
466687,safe
523737,safe
88307,safe
259406,safe
244742,safe
508512,safe
454112,safe
81473,safe
134451,safe
487587,safe
17706,safe
302315,safe
532612,safe
172283,safe
90831,safe
517437,safe
280982,safe
508562,safe
533637,safe
432910,safe
137480,safe
269783,safe
566804,safe
211577,safe
91139,safe
435035,safe
447387,safe
279792,safe
274909,safe
153638,safe
440242,safe
6376,safe
386111,safe
86760,safe
209316,safe
219310,safe
269887,safe
200750,safe
563051,safe
236283,safe
554387,safe
524587,safe
256119,safe
38071,safe
110941,safe
254630,safe
404618,safe
464637,safe
391175,safe
219737,safe
93967,safe
488112,safe
440554,safe
539837,safe
268832,safe
53791,safe
304884,safe
287408,safe
556037,safe
548212,safe
549162,safe
193100,safe
26735,safe
437585,safe
545862,safe
508087,safe
131595,safe
558912,safe
567776,safe
386330,safe
516562,safe
271409,safe
533562,safe
162022,safe
70273,safe
85689,safe
30482,safe
546312,safe
499037,safe
491487,safe
211898,safe
431501,safe
218596,safe
155610,safe
220556,safe
331891,safe
120457,safe
495887,safe
475337,safe
492887,safe
438775,safe
31178,safe
574310,safe
543412,safe
369850,safe
272327,safe
569189,safe
202986,safe
371465,safe
156348,safe
144594,safe
122104,safe
472337,safe
575867,safe
542187,safe
74279,safe
285791,safe
519687,safe
267392,safe
405334,safe
55093,safe
197811,safe
186936,safe
182057,safe
165668,safe
455612,safe
141052,safe
288488,safe
439710,safe
40464,safe
499087,safe
239258,safe
543337,safe
60301,safe
150843,safe
454187,safe
516012,safe
569297,safe
27519,safe
78895,safe
255250,safe
77086,safe
459262,safe
536612,safe
464762,safe
459912,safe
549137,safe
81260,safe
569531,safe
386706,safe
253025,safe
25460,safe
539437,safe
112082,safe
502962,safe
21584,safe
268594,safe
162794,safe
442082,safe
231823,safe
567569,safe
577220,safe
490137,safe
192898,safe
2326,safe
520212,safe
8040,safe
363694,safe
250405,safe
557137,safe
294682,safe
11259,safe
550012,safe
288122,safe
342673,safe
123413,safe
419807,safe
331162,safe
569927,safe
255463,safe
59141,safe
482887,safe
462312,safe
170880,safe
571700,safe
275147,safe
566273,safe
466137,safe
570971,safe
184080,safe
402578,safe
275003,safe
364714,safe
115234,safe
369729,safe
440606,safe
575903,safe
86437,safe
559887,safe
549337,safe
159823,safe
570296,safe
31407,safe
328612,safe
470862,safe
263144,safe
323280,safe
148521,safe
566813,safe
268356,safe
146330,safe
553287,safe
92768,safe
549787,safe
360294,safe
483287,safe
126712,safe
279269,safe
141921,safe
46951,safe
567794,safe
211397,safe
171203,safe
490287,safe
577187,safe
542162,safe
200905,safe
261240,safe
572537,safe
127859,safe
405929,safe
217036,safe
52328,safe
28700,safe
256177,safe
77858,safe
435084,safe
68342,safe
559062,safe
33643,safe
164368,safe
113321,safe
41517,safe
339394,safe
433299,safe
340074,safe
274588,safe
511187,safe
125973,safe
452787,safe
509187,safe
192471,safe
14624,safe
144722,safe
566381,safe
511312,safe
372400,safe
121653,safe
145223,safe
570143,safe
138136,safe
501312,safe
415011,safe
295872,safe
330227,safe
383051,safe
537637,safe
354357,safe
80155,safe
386366,safe
462962,safe
555937,safe
561437,safe
517262,safe
101876,safe
560762,safe
387095,safe
133688,safe
284253,safe
495112,safe
60826,safe
419176,safe
574553,safe
212340,safe
556812,safe
177081,safe
19253,safe
532162,safe
75588,safe
184486,safe
565166,safe
205189,safe
6089,safe
572933,safe
495712,safe
542262,safe
357515,safe
269539,safe
60231,safe
107562,safe
344723,safe
51423,safe
517212,safe
374780,safe
465187,safe
154945,safe
471962,safe
206617,safe
119386,safe
539762,safe
143404,safe
576200,safe
192837,safe
13663,safe
423037,safe
572222,safe
427725,safe
12664,safe
142858,safe
558487,safe
128454,safe
475137,safe
68580,safe
507137,safe
435545,safe
25341,safe
199764,safe
156550,safe
450762,safe
236674,safe
519312,safe
568802,safe
28078,safe
437415,safe
336334,safe
422187,safe
540087,safe
541787,safe
205973,safe
126678,safe
90068,safe
6529,safe
285553,safe
327713,safe
121985,safe
543237,safe
552762,safe
19512,safe
84807,safe
558862,safe
106400,safe
562628,safe
279520,safe
556137,safe
462187,safe
574355,safe
516812,safe
406439,safe
368271,safe
511062,safe
576695,safe
163845,safe
71017,safe
575318,safe
555162,safe
231358,safe
225072,safe
489262,safe
219582,safe
440469,safe
543637,safe
123166,safe
135046,safe
389645,safe
540962,safe
521312,safe
191815,safe
37714,safe
278079,safe
480387,safe
258335,safe
466587,safe
460087,safe
548612,safe
154350,safe
541862,safe
276851,safe
487412,safe
162056,safe
276109,safe
47308,safe
575048,safe
376493,safe
486962,safe
95694,safe
333627,safe
213857,safe
441522,safe
230445,safe
400319,safe
318082,safe
291877,safe
362710,safe
495237,safe
195956,safe
576101,safe
467437,safe
41151,safe
64003,safe
182344,safe
3534,safe
188041,safe
174295,safe
402493,safe
125378,safe
191696,safe
48934,safe
147441,safe
182497,safe
184913,safe
450712,safe
117113,safe
352997,safe
437330,safe
285861,safe
308333,safe
252751,safe
574229,safe
63799,safe
441373,safe
379651,safe
576443,safe
440658,safe
36097,safe
564770,safe
372449,safe
562178,safe
76787,safe
246314,safe
318677,safe
83056,safe
496937,safe
168484,safe
328903,safe
491862,safe
531662,safe
233336,safe
480637,safe
211696,safe
567560,safe
456137,safe
512112,safe
122010,safe
339940,safe
255524,safe
24712,safe
1219,safe
33634,safe
52029,safe
445912,safe
533837,safe
454737,safe
309863,safe
526912,safe
193967,safe
505362,safe
471287,safe
65971,safe
260239,safe
105695,safe
349741,safe
181511,safe
214510,safe
221923,safe
83651,safe
376542,safe
528912,safe
248952,safe
265275,safe
458037,safe
576398,safe
218046,safe
479587,safe
440729,safe
413056,safe
569198,safe
576047,safe
494312,safe
272648,safe
224347,safe
440742,safe
405298,safe
293662,safe
576407,safe
466987,safe
131247,safe
489162,safe
329158,safe
270280,safe
256678,safe
225714,safe
179989,safe
29476,safe
343072,safe
135199,safe
404229,safe
343157,safe
333591,safe
535262,safe
449062,safe
63179,safe
566957,safe
563915,safe
506962,safe
68971,safe
441711,safe
153553,safe
140109,safe
283921,safe
33823,safe
137303,safe
237244,safe
559862,safe
312145,safe
541012,safe
404314,safe
464687,safe
70626,safe
344213,safe
439674,safe
567470,safe
209401,safe
204188,safe
572717,safe
71969,safe
129761,safe
198168,safe
152329,safe
36869,safe
484837,safe
554537,safe
560012,safe
97537,safe
386961,safe
118175,safe
96704,safe
573905,safe
20632,safe
109419,safe
489187,safe
144783,safe
480612,safe
119658,safe
60777,safe
460237,safe
43810,safe
48141,safe
150129,safe
497687,safe
53944,safe
519087,safe
515237,safe
212102,safe
361824,safe
563564,safe
175579,safe
59498,safe
564383,safe
33524,safe
391515,safe
223099,safe
14029,safe
454712,safe
174499,safe
255405,safe
395971,safe
425855,safe
460337,safe
139788,safe
107800,safe
80582,safe
187055,safe
371635,safe
198821,safe
259727,safe
211992,safe
134723,safe
452137,safe
454512,safe
38630,safe
363900,safe
467587,safe
556862,safe
357940,safe
439164,safe
223337,safe
421386,safe
23284,safe
525287,safe
495187,safe
102364,safe
12377,safe
6944,safe
567605,safe
521537,safe
382116,safe
160678,safe
128250,safe
51971,safe
32038,safe
187421,safe
178594,safe
149855,safe
503862,safe
191101,safe
165107,safe
29070,safe
548062,safe
451237,safe
493987,safe
199834,safe
28876,safe
318337,safe
181273,safe
303109,safe
242660,safe
429595,safe
310628,safe
521262,safe
317183,safe
254096,safe
571070,safe
504737,safe
577028,safe
430870,safe
467412,safe
286157,safe
185780,safe
202867,safe
543437,safe
33704,safe
360974,safe
145937,safe
464337,safe
72741,safe
498912,safe
236045,safe
572780,safe
441015,safe
354393,safe
9899,safe
191162,safe
142977,safe
139348,safe
484112,safe
91504,safe
285742,safe
470987,safe
300782,safe
305407,safe
474237,safe
179527,safe
3229,safe
288607,safe
184556,safe
418107,safe
32444,safe
563717,safe
98812,safe
384715,safe
221959,safe
139029,safe
487937,safe
401594,safe
435800,safe
207093,safe
158153,safe
14020,safe
242148,safe
57987,safe
221701,safe
206092,safe
269329,safe
115200,safe
564338,safe
270091,safe
575732,safe
106638,safe
572924,safe
337256,safe
288369,safe
239734,safe
574985,safe
105482,safe
155693,safe
486137,safe
334755,safe
483537,safe
429036,safe
274289,safe
343242,safe
284278,safe
569009,safe
73516,safe
197894,safe
528312,safe
77050,safe
532712,safe
15562,safe
191757,safe
51531,safe
282578,safe
528437,safe
191339,safe
220260,safe
339649,safe
117946,safe
460187,safe
224645,safe
190497,safe
39261,safe
475087,safe
372109,safe
189197,safe
524762,safe
509212,safe
296601,safe
489562,safe
521462,safe
426365,safe
561712,safe
211626,safe
461312,safe
462162,safe
360124,safe
483012,safe
143950,safe
479087,safe
562502,safe
254392,safe
530762,safe
419091,safe
484712,safe
196621,safe
572231,safe
148189,safe
109989,safe
231466,safe
101315,safe
391041,safe
556262,safe
289822,safe
321835,safe
298798,safe
558037,safe
531162,safe
312364,safe
114733,safe
530812,safe
210946,safe
563240,safe
111368,safe
455687,safe
213004,safe
199322,safe
314718,safe
114639,safe
445412,safe
457912,safe
226403,safe
529087,safe
400404,safe
518462,safe
151045,safe
84652,safe
6172,safe
72979,safe
223456,safe
572528,safe
67543,safe
134094,safe
251912,safe
164191,safe
184248,safe
326062,safe
507812,safe
522887,safe
576977,safe
301426,safe
510312,safe
507162,safe
387556,safe
11082,safe
74526,safe
557587,safe
419892,safe
19952,safe
251412,safe
467737,safe
341738,safe
288845,safe
131070,safe
229197,safe
440716,safe
543112,safe
214119,safe
73123,safe
164963,safe
129965,safe
534587,safe
566390,safe
124103,safe
205259,safe
493212,safe
329292,safe
350130,safe
573545,safe
377065,safe
429000,safe
112677,safe
59226,safe
573590,safe
226226,safe
137184,safe
269981,safe
526012,safe
397004,safe
179801,safe
574886,safe
111188,safe
490712,safe
496737,safe
347966,safe
40745,safe
73931,safe
63240,safe
536687,safe
68708,safe
302668,safe
429121,safe
251376,safe
107029,safe
243901,safe
534487,safe
538562,safe
85936,safe
338119,safe
441828,safe
77739,safe
556762,safe
395255,safe
96347,safe
279069,safe
441314,safe
471587,safe
105457,safe
333457,safe
323316,safe
76302,safe
162684,safe
275742,safe
483512,safe
181688,safe
412049,safe
572339,safe
71899,safe
440528,safe
496687,safe
175366,safe
488762,safe
335095,safe
492387,safe
18786,safe
572690,safe
562160,safe
510612,safe
273685,safe
572807,safe
548087,safe
297111,safe
512662,safe
70154,safe
394660,safe
285504,safe
532962,safe
357685,safe
81226,safe
99164,safe
572609,safe
467712,safe
267417,safe
209080,safe
221591,safe
157762,safe
306973,safe
227569,safe
440573,safe
567056,safe
96884,safe
34119,safe
203523,safe
298968,safe
504112,safe
362079,safe
42543,safe
552337,safe
549212,safe
575687,safe
496487,safe
297232,safe
541062,safe
290759,safe
270875,safe
441587,safe
22759,safe
463337,safe
196740,safe
408564,safe
213951,safe
137114,safe
117827,safe
2683,safe
206925,safe
573635,safe
494612,safe
303864,safe
246994,safe
97086,safe
254502,safe
62492,safe
513837,safe
39142,safe
474612,safe
546987,safe
139431,safe
167651,safe
146687,safe
467612,safe
19631,safe
557387,safe
203413,safe
529687,safe
576749,safe
250133,safe
97562,safe
168747,safe
379700,safe
225799,safe
411235,safe
565895,safe
217952,safe
136663,safe
552562,safe
116186,safe
398328,safe
537087,safe
280827,safe
81498,safe
213821,safe
169140,safe
298288,safe
233013,safe
385310,safe
92719,safe
568739,safe
524937,safe
460437,safe
473112,safe
486262,safe
117888,safe
9030,safe
88103,safe
83929,safe
259253,safe
16909,safe
283802,safe
199477,safe
302962,safe
544737,safe
75716,safe
122129,safe
5790,safe
574607,safe
576308,safe
421046,safe
571016,safe
317657,safe
546462,safe
107443,safe
503112,safe
512862,safe
379906,safe
576353,safe
152497,safe
272684,safe
372825,safe
84737,safe
169854,safe
576218,safe
118651,safe
174652,safe
427251,safe
352693,safe
527687,safe
482812,safe
505062,safe
326693,safe
502862,safe
501237,safe
17715,safe
19750,safe
15636,safe
60469,safe
85579,safe
385565,safe
80036,safe
184962,safe
346763,safe
209114,safe
248180,safe
566651,safe
562943,safe
147987,safe
19393,safe
547837,safe
411745,safe
539112,safe
201082,safe
24721,safe
341045,safe
3168,safe
466337,safe
573833,safe
291622,safe
471137,safe
473387,safe
226513,safe
531312,safe
258182,safe
448187,safe
87032,safe
331283,safe
76183,safe
239804,safe
555662,safe
379190,safe
115032,safe
495587,safe
251946,safe
548187,safe
127774,safe
208555,safe
330858,safe
92218,safe
481362,safe
318592,safe
484287,safe
84627,safe
215700,safe
471362,safe
576911,safe
34797,safe
268628,safe
284552,safe
481587,safe
476537,safe
91376,safe
266431,safe
518837,safe
527662,safe
164988,safe
418787,safe
66200,safe
15789,safe
495987,safe
290383,safe
517237,safe
381266,safe
549187,safe
197027,safe
274231,safe
70367,safe
55670,safe
74050,safe
274884,safe
444587,safe
525087,safe
214189,safe
155372,safe
438435,safe
474962,safe
338835,safe
493012,safe
309706,safe
271196,safe
178783,safe
61015,safe
101196,safe
203096,safe
112998,safe
565175,safe
445787,safe
187125,safe
131510,safe
492487,safe
567191,safe
418957,safe
269817,safe
179140,safe
512637,safe
289263,safe
358159,safe
73922,safe
43388,safe
535862,safe
504312,safe
382590,safe
520137,safe
496587,safe
64834,safe
524912,safe
227297,safe
569306,safe
81235,safe
224654,safe
173260,safe
441067,safe
477662,safe
201345,safe
194241,safe
452087,safe
374525,safe
394526,safe
148546,safe
569018,safe
269677,safe
297742,safe
164716,safe
291998,safe
339260,safe
155134,safe
238306,safe
58512,safe
469312,safe
333287,safe
529812,safe
132260,safe
13340,safe
87117,safe
521737,safe
39106,safe
263263,safe
465562,safe
308078,safe
214952,safe
22249,safe
462337,safe
404108,safe
296176,safe
114019,safe
469387,safe
36656,safe
565346,safe
369559,safe
75359,safe
464562,safe
507837,safe
45833,safe
206330,safe
21831,safe
531937,safe
521762,safe
561037,safe
476487,safe
40022,safe
265955,safe
95862,safe
68852,safe
62813,safe
143712,safe
85341,safe
73812,safe
211779,safe
49352,safe
224917,safe
110346,safe
516512,safe
515387,safe
577091,safe
36393,safe
240933,safe
18429,safe
291233,safe
460112,safe
440515,safe
403039,safe
64513,safe
250014,safe
384666,safe
572015,safe
78013,safe
174176,safe
21261,safe
178628,safe
313165,safe
367676,safe
51614,safe
98242,safe
177413,safe
448062,safe
182472,safe
469662,safe
244767,safe
237067,safe
436905,safe
255454,safe
298543,safe
543862,safe
187363,safe
310373,safe
15944,safe
469837,safe
199679,safe
350532,safe
421726,safe
329207,safe
186826,safe
571511,safe
563762,safe
168832,safe
185566,safe
45238,safe
569459,safe
485812,safe
553237,safe
12058,safe
99025,safe
143154,safe
373675,safe
571691,safe
377951,safe
5314,safe
512987,safe
415181,safe
491362,safe
111536,safe
440287,safe
571988,safe
295532,safe
107242,safe
128726,safe
41270,safe
169021,safe
288513,safe
198965,safe
151698,safe
518012,safe
200429,safe
56049,safe
542337,safe
333032,safe
339090,safe
447787,safe
319442,safe
153364,safe
201439,safe
71814,safe
458987,safe
499937,safe
98013,safe
300024,safe
291913,safe
126568,safe
87627,safe
288668,safe
391,safe
419467,safe
541137,safe
282374,safe
418702,safe
303779,safe
547162,safe
577250,safe
284635,safe
565049,safe
216023,safe
217512,safe
470462,safe
257776,safe
414367,safe
175045,safe
284363,safe
446037,safe
565715,safe
534712,safe
437245,safe
320122,safe
180678,safe
244922,safe
519037,safe
467987,safe
403549,safe
38486,safe
52862,safe
275351,safe
498112,safe
513187,safe
193542,safe
84286,safe
249062,safe
447637,safe
78453,safe
397429,safe
195361,safe
562979,safe
253703,safe
529837,safe
22734,safe
287051,safe
151011,safe
312995,safe
259015,safe
29402,unhealthy for sensitive groups
497837,safe
41746,safe
185438,safe
5375,safe
303354,safe
562313,safe
370275,safe
210674,safe
51816,safe
484762,safe
330652,safe
45561,safe
248263,safe
121061,safe
42806,safe
198574,safe
30933,safe
192709,safe
494162,safe
222756,safe
42433,safe
143914,safe
302047,safe
547962,safe
192599,safe
383221,safe
334500,safe
45799,safe
172512,safe
404739,safe
200191,safe
302364,safe
552837,safe
344092,safe
106196,safe
549987,safe
267453,safe
91565,safe
569621,safe
460062,safe
383610,safe
20394,safe
409790,safe
112165,safe
456962,safe
203651,safe
133057,safe
464362,safe
56395,safe
408940,safe
448237,safe
460012,safe
271773,safe
394235,safe
395680,safe
251699,safe
267026,safe
444762,safe
121390,safe
266559,safe
188007,safe
497387,safe
61549,safe
254859,safe
292168,safe
87007,safe
114318,safe
255286,safe
514912,safe
166739,safe
96942,safe
559637,safe
183186,safe
242862,safe
90959,safe
284006,safe
28282,safe
514937,safe
107382,safe
72802,safe
210982,safe
443087,safe
173794,safe
533862,safe
258548,safe
516337,safe
337815,safe
562538,safe
25316,safe
252488,safe
417731,safe
441991,safe
210625,safe
558787,safe
541987,safe
534962,safe
571646,safe
120527,safe
13901,safe
48343,safe
50254,safe
437925,safe
527362,safe
568676,safe
574058,safe
20226,safe
137590,safe
42164,safe
1075,safe
138255,safe
38358,safe
317098,safe
566984,safe
172903,safe
469137,safe
72445,safe
39319,safe
533662,safe
313299,safe
248238,safe
60539,safe
441854,safe
433044,safe
542862,safe
325588,safe
432096,safe
562826,safe
470237,safe
528712,safe
266382,safe
199441,safe
192435,safe
190021,safe
269021,safe
276212,safe
391940,safe
314682,safe
497037,safe
473337,safe
296941,safe
467837,safe
523512,safe
60741,safe
503487,safe
562637,safe
87721,safe
574616,safe
481887,safe
515937,safe
568586,safe
442160,safe
429631,safe
41661,safe
241052,safe
536862,safe
288955,safe
378206,safe
469412,safe
397514,safe
39191,safe
99341,safe
12866,safe
85698,safe
194836,safe
208640,safe
385140,safe
4066,safe
567344,safe
176818,safe
444887,safe
534462,safe
28919,safe
242480,safe
441978,safe
244861,safe
194656,safe
447187,safe
485887,safe
297523,safe
386840,safe
455662,safe
16384,safe
440411,safe
400574,safe
154979,safe
302717,safe
123175,safe
77135,safe
328187,safe
577103,safe
411369,safe
366911,safe
505862,safe
566759,safe
46046,safe
525587,safe
62288,safe
287442,safe
85927,safe
151283,safe
25258,safe
415946,safe
550412,safe
569729,safe
44261,safe
426195,safe
162911,safe
266620,safe
202892,safe
399008,safe
129489,safe
260535,safe
222603,safe
47510,safe
69173,safe
472287,safe
289678,safe
114437,safe
562781,safe
187803,safe
472037,safe
545387,safe
111655,safe
461987,safe
356884,safe
395850,safe
118065,safe
525762,safe
350787,safe
178545,safe
552137,safe
2018,safe
84856,safe
503237,safe
481412,safe
273456,safe
372570,safe
262549,safe
166391,safe
424021,safe
169104,safe
8790,safe
430360,safe
339989,safe
314234,safe
243111,safe
571925,safe
550762,safe
1908,safe
471387,safe
547187,safe
416067,safe
185234,safe
550987,safe
213312,safe
208054,safe
513612,safe
278683,safe
410859,safe
21892,safe
167215,safe
455712,safe
88579,safe
467637,safe
175247,safe
230290,safe
293358,safe
41185,safe
11522,safe
448487,safe
364969,safe
564563,safe
24425,safe
217155,safe
503162,safe
478212,safe
493262,safe
52911,safe
516862,safe
572879,safe
142565,safe
544062,safe
459962,safe
325843,safe
569045,safe
423900,safe
552662,safe
492037,safe
39072,safe
165677,safe
1850,safe
571259,safe
245218,safe
135675,safe
208353,safe
324993,safe
450112,safe
367166,safe
451037,safe
563393,safe
30329,safe
460637,safe
514762,safe
134402,safe
4744,safe
564230,safe
143532,safe
458612,safe
251802,safe
97003,safe
275930,safe
67637,safe
99698,safe
558212,safe
378595,safe
276638,safe
67103,safe
156974,safe
451537,safe
404703,safe
523387,safe
191458,safe
444987,safe
264799,safe
90474,safe
263748,safe
493112,safe
573482,safe
77263,safe
330737,safe
232622,safe
571772,safe
338289,safe
7420,safe
331757,safe
344262,safe
7445,safe
237662,safe
486462,safe
427045,safe
204951,safe
570620,safe
189460,safe
425636,safe
49698,safe
339685,safe
250609,safe
86949,safe
384375,safe
506837,safe
573923,safe
394830,safe
564527,safe
141528,safe
398498,safe
510637,safe
46190,safe
113961,safe
484187,safe
512437,safe
66746,safe
544262,safe
461862,safe
114852,safe
398789,safe
492787,safe
128369,safe
203795,safe
193634,safe
562565,safe
440274,safe
368405,safe
255692,safe
20751,safe
65630,safe
59874,safe
309366,safe
555362,safe
119633,safe
431380,safe
114138,safe
