,aqi_ozone
1692,safe
16378,safe
7373,safe
15678,safe
19535,safe
27423,safe
6211,safe
8176,safe
11581,safe
2645,safe
6807,safe
7641,safe
3301,safe
19487,safe
22151,safe
6772,safe
5468,safe
23859,safe
26475,safe
15450,safe
3844,safe
6045,safe
22488,safe
23855,safe
27832,safe
6833,safe
15996,safe
34316,safe
12369,safe
31397,safe
33686,safe
9155,safe
3479,safe
26550,safe
13996,safe
10832,unhealthy for sensitive groups
25855,safe
616,safe
34548,safe
29562,safe
2676,safe
21807,unhealthy for sensitive groups
21632,safe
11795,safe
12216,safe
20314,unhealthy for sensitive groups
18168,safe
17360,safe
9419,safe
2423,safe
5290,unhealthy for sensitive groups
30123,safe
798,safe
1744,unhealthy for sensitive groups
12140,safe
14526,safe
31218,safe
18882,safe
7718,safe
28442,safe
15000,safe
23641,safe
29296,safe
17595,safe
24701,safe
12393,safe
2503,safe
4779,safe
28072,unhealthy for sensitive groups
30943,safe
10566,safe
29888,safe
10455,safe
32751,safe
2667,safe
3965,safe
9007,safe
13808,safe
3468,unhealthy
23310,safe
32914,safe
7053,safe
25447,unhealthy for sensitive groups
13447,safe
8274,safe
4178,unhealthy for sensitive groups
14825,safe
27401,safe
4428,safe
15130,safe
29601,safe
1117,safe
6355,safe
2992,safe
22499,safe
15459,safe
5024,safe
4460,safe
32053,safe
30889,unhealthy for sensitive groups
18843,safe
12320,safe
15869,safe
28964,safe
4366,safe
28434,safe
13013,safe
15296,safe
20255,safe
20777,safe
17700,safe
21579,unhealthy for sensitive groups
11773,safe
19268,safe
33693,safe
11649,safe
19331,safe
13423,safe
25785,unhealthy for sensitive groups
17143,safe
7064,safe
13453,safe
6548,safe
26098,safe
8645,safe
1192,unhealthy for sensitive groups
12237,safe
27655,safe
18810,safe
3421,safe
12998,safe
29250,safe
4899,safe
1757,safe
25930,safe
6001,unhealthy for sensitive groups
27198,safe
8541,safe
5302,unhealthy for sensitive groups
27814,safe
2452,safe
24259,safe
28963,safe
10533,safe
24248,safe
7432,safe
12067,safe
29633,safe
10855,safe
20308,unhealthy for sensitive groups
19597,safe
18850,safe
4735,safe
24463,safe
29285,safe
1309,safe
11432,safe
4646,safe
28670,safe
34734,safe
16448,safe
24083,safe
25302,safe
29204,safe
24278,unhealthy for sensitive groups
27458,safe
26085,safe
34656,safe
20212,unhealthy for sensitive groups
14233,safe
29096,safe
16164,safe
33333,safe
14824,safe
11539,safe
9981,very unhealthy
16552,safe
16520,safe
20785,safe
6676,safe
20318,very unhealthy
25433,safe
32925,unhealthy for sensitive groups
4520,safe
13975,unhealthy for sensitive groups
17119,safe
10091,safe
21166,safe
10109,safe
21229,safe
28449,safe
5748,safe
2988,safe
11091,safe
20759,safe
14086,safe
3090,safe
27493,safe
21152,safe
34881,unhealthy for sensitive groups
24420,unhealthy for sensitive groups
1444,safe
26266,unhealthy
32424,safe
26603,safe
12459,safe
30939,unhealthy for sensitive groups
25109,safe
2448,safe
26720,safe
26910,safe
21249,safe
26758,safe
23118,safe
7905,safe
33643,safe
12507,safe
26557,safe
12182,unhealthy for sensitive groups
8646,safe
16407,safe
10905,safe
28378,safe
18203,safe
28625,safe
3229,safe
8634,safe
4762,unhealthy for sensitive groups
20830,safe
21388,safe
20574,safe
34863,safe
25219,safe
10912,safe
11504,safe
21201,safe
5560,safe
22945,safe
8,safe
21510,safe
14336,safe
31336,safe
33048,safe
32247,safe
15800,safe
17390,safe
28212,safe
6445,safe
7168,safe
18839,safe
21004,safe
8884,safe
21257,safe
8497,safe
24424,unhealthy for sensitive groups
8522,safe
21643,safe
994,safe
5777,safe
26014,safe
30000,safe
33714,safe
2251,safe
33588,safe
30949,safe
23988,safe
1240,safe
13095,safe
6234,safe
20549,safe
28280,safe
10657,safe
29259,safe
28146,safe
5274,unhealthy for sensitive groups
14805,safe
11440,unhealthy for sensitive groups
30761,safe
6626,safe
15946,safe
5140,safe
21468,safe
10690,safe
1989,safe
18818,safe
926,safe
16331,safe
25363,safe
25476,safe
10834,safe
33816,safe
32975,safe
7661,unhealthy for sensitive groups
27366,safe
28722,safe
19243,safe
27524,safe
12291,safe
23640,safe
11340,unhealthy for sensitive groups
9056,unhealthy for sensitive groups
8018,safe
5984,safe
23298,safe
14899,safe
636,safe
12995,safe
34461,safe
31153,unhealthy for sensitive groups
5601,safe
29298,safe
4676,unhealthy for sensitive groups
23172,safe
349,safe
21394,safe
12372,safe
15807,safe
12710,safe
4575,safe
31837,safe
13350,unhealthy for sensitive groups
9793,safe
14523,safe
22437,safe
21228,safe
22208,safe
22613,safe
28606,safe
33057,safe
15368,safe
17556,safe
9611,unhealthy for sensitive groups
3242,safe
5457,safe
2092,unhealthy for sensitive groups
26084,safe
17509,unhealthy for sensitive groups
13229,safe
10818,safe
22271,safe
16453,safe
15622,safe
31608,safe
16984,safe
34428,safe
14558,safe
25744,safe
28102,unhealthy for sensitive groups
33970,safe
32223,safe
18440,safe
7249,safe
13569,very unhealthy
17725,safe
8290,safe
16527,safe
6294,safe
8833,safe
15153,safe
5532,safe
28310,safe
10256,safe
5199,safe
9779,safe
17608,safe
12364,safe
10780,safe
28537,safe
16494,safe
16350,safe
18639,safe
33635,safe
31871,safe
4175,unhealthy for sensitive groups
12918,safe
17198,safe
23826,safe
12020,unhealthy for sensitive groups
10672,safe
19973,safe
31861,safe
30835,safe
2928,safe
25150,safe
565,safe
19562,safe
24121,safe
32039,safe
17696,safe
21814,safe
18183,safe
15219,safe
16064,safe
27069,safe
18118,safe
27795,unhealthy for sensitive groups
31647,safe
13618,safe
22355,safe
4800,safe
25501,safe
35025,unhealthy for sensitive groups
22218,safe
34839,safe
5967,unhealthy for sensitive groups
34068,safe
27178,safe
5419,safe
16671,safe
17217,safe
15186,safe
9159,safe
34717,safe
19931,safe
29496,safe
32456,safe
3153,safe
10135,safe
915,safe
15723,unhealthy for sensitive groups
11667,safe
11733,safe
19138,safe
13809,safe
31024,safe
23531,safe
3495,safe
23845,unhealthy for sensitive groups
19026,safe
14748,safe
8356,safe
11465,safe
32453,safe
10489,safe
28586,safe
23160,safe
6415,safe
5289,safe
5087,unhealthy for sensitive groups
12433,safe
12437,safe
6926,safe
16096,safe
5025,safe
11393,safe
8900,unhealthy for sensitive groups
21726,safe
7987,safe
12983,safe
10652,safe
21244,safe
21991,safe
27077,safe
4312,safe
4705,safe
9326,safe
33171,safe
34441,safe
283,safe
21822,safe
15861,safe
9570,safe
27853,safe
21086,safe
14787,safe
2128,safe
20155,unhealthy
26873,safe
33190,safe
28516,safe
26296,safe
13659,safe
27552,safe
19476,safe
10119,safe
6755,safe
5262,safe
3717,safe
15356,safe
14508,safe
30022,safe
18979,safe
13369,very unhealthy
20409,safe
4040,safe
9768,safe
28076,unhealthy for sensitive groups
22558,safe
20616,safe
12171,safe
28813,safe
24276,safe
22383,safe
24712,safe
6096,safe
25925,safe
2817,safe
31707,safe
27793,unhealthy for sensitive groups
20046,safe
13934,safe
9863,safe
15769,unhealthy for sensitive groups
23637,safe
34088,safe
32167,safe
24666,safe
1004,unhealthy for sensitive groups
6408,safe
15905,safe
27037,safe
21253,safe
19108,safe
34783,safe
24185,safe
5562,safe
18960,safe
14755,unhealthy for sensitive groups
29876,safe
13261,safe
20731,safe
33004,safe
15554,unhealthy for sensitive groups
29939,safe
28448,safe
24402,safe
21496,safe
26580,safe
27177,safe
8538,safe
1651,safe
32999,safe
9654,very unhealthy
11768,safe
31909,safe
17799,safe
28852,safe
6512,safe
20369,safe
23351,safe
9826,safe
10893,safe
29254,safe
12083,safe
7946,safe
33853,safe
10463,safe
27120,safe
20507,safe
14046,unhealthy for sensitive groups
8281,safe
23544,safe
32721,unhealthy
19386,safe
9251,unhealthy for sensitive groups
28111,safe
20078,safe
27009,safe
2983,safe
28943,safe
29371,safe
3019,safe
34102,safe
24450,safe
28642,safe
3592,safe
2416,safe
5640,safe
7367,safe
27235,safe
23150,safe
27247,safe
12326,safe
2581,unhealthy for sensitive groups
33008,safe
17317,safe
8296,safe
25648,unhealthy for sensitive groups
12439,safe
9907,safe
12274,safe
8852,safe
21501,safe
17302,safe
1849,safe
28816,safe
7140,very unhealthy
32195,unhealthy for sensitive groups
8021,safe
8663,safe
17441,safe
9416,safe
5934,safe
32123,safe
27694,unhealthy for sensitive groups
8262,safe
33953,safe
25391,safe
12162,safe
163,unhealthy for sensitive groups
6782,safe
29543,safe
25673,safe
29155,safe
30144,unhealthy for sensitive groups
12400,safe
26208,safe
12356,safe
19774,safe
18848,safe
29513,safe
8635,safe
10827,safe
34427,safe
4881,unhealthy for sensitive groups
30784,safe
18547,safe
25453,safe
9819,safe
18864,safe
5519,safe
21019,safe
32455,safe
22509,safe
12279,safe
3953,unhealthy for sensitive groups
20564,unhealthy for sensitive groups
4692,safe
3452,safe
26118,safe
5873,safe
31434,safe
28253,safe
31945,safe
20332,safe
12902,safe
15297,safe
29043,safe
26271,unhealthy
1758,safe
12593,safe
11472,safe
28241,safe
3870,safe
6260,safe
22518,safe
19811,unhealthy for sensitive groups
1844,safe
692,safe
28991,safe
31325,safe
8221,safe
3465,safe
2184,unhealthy
836,safe
13969,safe
724,safe
29666,safe
27668,safe
7342,safe
16134,safe
21368,safe
20755,safe
20550,unhealthy for sensitive groups
27328,safe
3751,safe
18805,safe
31691,safe
15129,safe
26347,safe
2406,safe
15708,unhealthy for sensitive groups
14350,safe
6086,safe
2651,safe
14329,safe
31047,safe
34163,safe
23080,safe
27762,safe
19801,safe
3997,safe
31161,safe
17139,safe
14719,safe
27116,safe
9616,safe
33115,safe
4633,safe
19984,safe
9027,unhealthy for sensitive groups
25879,safe
25563,safe
29784,safe
17429,safe
9180,safe
13351,unhealthy for sensitive groups
28888,safe
10243,safe
35061,safe
26017,safe
5973,safe
28317,safe
12113,safe
22912,safe
14987,safe
13367,unhealthy for sensitive groups
34838,safe
30754,safe
26255,safe
23083,safe
23206,safe
3249,safe
11623,safe
34152,safe
5161,safe
10214,safe
5436,safe
9318,safe
11,safe
7665,unhealthy
15123,safe
23144,safe
33754,safe
17200,safe
1929,safe
10748,safe
30717,safe
34625,safe
26043,safe
9906,safe
13286,safe
712,unhealthy for sensitive groups
18670,safe
21007,safe
29438,safe
13418,safe
17776,safe
9338,safe
20773,safe
14756,safe
29729,safe
32122,safe
20689,safe
24392,safe
5451,safe
14152,safe
16135,safe
33808,safe
3331,safe
4463,safe
33228,safe
6336,safe
20900,safe
21921,safe
16506,safe
15288,unhealthy for sensitive groups
3018,safe
3166,unhealthy for sensitive groups
6517,safe
14370,safe
16924,safe
10040,safe
4759,safe
14525,safe
10758,safe
26350,safe
25916,safe
12633,safe
10501,safe
30843,unhealthy for sensitive groups
2818,safe
29621,safe
2837,safe
18742,safe
7439,unhealthy for sensitive groups
4544,safe
21180,safe
13636,safe
27735,safe
18330,safe
29708,safe
5839,safe
7175,safe
34206,safe
27926,safe
33529,safe
25136,safe
28930,safe
17976,safe
12714,safe
7135,unhealthy
34758,safe
5541,safe
31858,safe
13449,unhealthy for sensitive groups
22998,safe
27003,safe
24309,safe
23103,safe
30258,unhealthy for sensitive groups
6302,safe
3553,safe
16721,safe
6989,safe
6974,safe
10393,safe
20145,safe
10658,safe
22903,safe
11875,safe
1696,safe
4359,safe
33973,safe
14095,safe
17572,unhealthy for sensitive groups
27301,safe
11231,safe
11093,safe
30760,safe
7820,safe
16297,safe
25967,safe
33167,safe
16354,safe
26768,safe
15094,safe
8448,safe
84,safe
8571,safe
21850,unhealthy for sensitive groups
17417,safe
8258,safe
4029,safe
17551,safe
22112,safe
1155,safe
22785,unhealthy for sensitive groups
11420,safe
15376,safe
6078,safe
9153,safe
2610,safe
33044,safe
25008,safe
5089,unhealthy for sensitive groups
10128,safe
24413,unhealthy
32533,safe
23475,safe
8602,safe
1721,safe
17472,safe
29856,safe
6940,safe
24123,safe
17375,safe
21618,safe
34141,safe
9618,safe
18052,safe
16095,safe
17772,safe
6830,safe
10354,safe
8249,safe
5069,safe
9463,safe
16154,safe
14618,safe
24176,safe
6167,safe
15695,unhealthy
34877,safe
1040,safe
8994,safe
16412,safe
31681,safe
1622,safe
12017,safe
16562,safe
3586,safe
24696,safe
14628,safe
23222,safe
8765,unhealthy for sensitive groups
17226,safe
5836,safe
6765,safe
7396,unhealthy for sensitive groups
14736,safe
9441,safe
26101,safe
8622,safe
24291,safe
11652,safe
4747,safe
18524,safe
3073,safe
28767,safe
18683,safe
18977,safe
28459,safe
28373,safe
6196,safe
28974,safe
20228,safe
19377,safe
33829,safe
24229,safe
26778,safe
26342,safe
8857,safe
7669,unhealthy for sensitive groups
23331,safe
15604,safe
29919,safe
34364,safe
3799,safe
14680,safe
30877,safe
31175,safe
2560,safe
1674,safe
12371,safe
8125,safe
735,unhealthy for sensitive groups
27597,safe
21543,safe
6214,safe
9367,safe
18837,safe
14427,safe
3030,safe
3987,safe
25349,safe
33606,safe
999,safe
25069,safe
8087,safe
10043,safe
18020,safe
22635,safe
25381,safe
31150,safe
6847,safe
31265,unhealthy for sensitive groups
14966,safe
12122,safe
11580,safe
27620,unhealthy for sensitive groups
32230,unhealthy for sensitive groups
9984,unhealthy
4885,unhealthy for sensitive groups
18685,safe
15004,safe
15066,unhealthy for sensitive groups
8507,safe
28006,safe
3575,safe
33161,safe
23232,safe
26011,safe
27928,safe
17998,safe
32709,safe
17636,safe
2604,safe
24460,safe
4900,unhealthy for sensitive groups
8161,safe
25851,safe
2531,very unhealthy
31748,safe
12602,safe
14317,safe
2943,safe
9166,safe
12880,safe
21841,safe
6148,safe
1926,safe
9552,safe
18425,safe
6430,safe
3212,safe
12681,safe
31743,safe
19793,safe
703,safe
1199,unhealthy for sensitive groups
10050,safe
23884,safe
34869,safe
32845,safe
33992,unhealthy
10045,safe
6839,unhealthy for sensitive groups
26377,safe
31475,safe
22489,safe
26105,safe
9733,unhealthy
18133,safe
19273,safe
9286,safe
5336,safe
13334,unhealthy for sensitive groups
28658,safe
7548,safe
34403,safe
21449,safe
13788,unhealthy for sensitive groups
21502,safe
8496,safe
31220,safe
14343,safe
15002,safe
33456,safe
16776,safe
17466,unhealthy for sensitive groups
27743,safe
5561,safe
31398,safe
12886,safe
29631,safe
2865,safe
25238,safe
28562,safe
10712,safe
10526,safe
11398,unhealthy for sensitive groups
3390,safe
29050,safe
17611,safe
23075,safe
20987,safe
1553,safe
7847,safe
8861,safe
18723,safe
29811,safe
11939,unhealthy for sensitive groups
13937,safe
14919,safe
15592,safe
13081,safe
16343,safe
28771,unhealthy
24059,safe
11635,safe
26999,safe
9648,unhealthy for sensitive groups
3712,safe
2636,safe
29484,safe
26073,safe
14947,safe
27778,safe
34907,safe
14193,safe
32219,safe
21162,safe
16294,safe
18215,safe
34974,safe
32963,safe
32862,safe
15180,safe
28526,safe
2576,unhealthy
21475,safe
19581,safe
26806,safe
7116,safe
32919,safe
34893,safe
5461,unhealthy for sensitive groups
6914,safe
24779,safe
13973,safe
902,safe
30040,safe
9020,safe
33117,safe
8444,safe
6721,safe
486,safe
5791,unhealthy
22575,safe
1314,safe
22441,safe
4367,safe
33378,unhealthy for sensitive groups
432,unhealthy
18149,safe
20796,safe
28465,safe
24597,unhealthy for sensitive groups
24974,safe
15088,safe
11021,safe
17862,safe
13441,safe
29010,safe
12410,safe
31694,safe
27246,safe
16667,safe
16528,safe
3474,unhealthy for sensitive groups
17679,safe
32603,safe
21521,safe
20390,safe
709,unhealthy for sensitive groups
127,unhealthy for sensitive groups
25802,safe
15867,safe
895,safe
34160,safe
17372,safe
20055,safe
25681,unhealthy for sensitive groups
150,safe
3288,unhealthy for sensitive groups
20739,safe
14464,safe
20209,safe
18127,safe
604,safe
6616,safe
8959,safe
15762,safe
28932,safe
29001,safe
6630,safe
31953,safe
24703,safe
21809,safe
31913,safe
8491,safe
12076,unhealthy for sensitive groups
24295,safe
7716,unhealthy for sensitive groups
7157,unhealthy for sensitive groups
24935,safe
28149,safe
19095,safe
18151,safe
25240,safe
7903,safe
197,safe
23771,safe
20087,safe
16145,safe
7047,safe
551,safe
506,safe
19301,safe
14138,safe
5297,safe
15752,safe
32189,safe
12934,safe
23552,safe
31062,safe
21222,safe
24518,safe
19315,safe
5267,safe
14773,safe
4321,safe
452,safe
15289,safe
3732,safe
31724,safe
19272,safe
23949,safe
13694,safe
10517,safe
23253,safe
990,safe
22049,safe
14394,safe
23930,safe
2684,safe
17706,safe
26676,safe
3618,safe
2197,unhealthy for sensitive groups
19227,safe
17279,safe
7167,safe
8813,safe
34970,safe
2794,unhealthy
7185,safe
7024,safe
26500,safe
33366,safe
23082,safe
32708,unhealthy for sensitive groups
31856,unhealthy for sensitive groups
19791,safe
357,safe
17542,safe
9670,safe
10292,safe
7348,safe
20508,safe
28090,unhealthy for sensitive groups
27584,safe
7060,safe
13639,safe
5071,unhealthy for sensitive groups
27283,safe
17560,safe
3510,safe
21987,safe
2397,safe
34948,safe
13155,safe
19891,safe
24709,safe
21898,safe
438,safe
4031,safe
12394,safe
5351,unhealthy for sensitive groups
16279,unhealthy for sensitive groups
22451,safe
713,safe
8918,safe
13748,safe
25034,safe
15781,safe
32398,unhealthy for sensitive groups
16099,safe
33300,safe
14943,safe
19989,safe
6928,safe
19797,safe
12819,safe
21220,safe
15691,unhealthy for sensitive groups
34523,safe
9727,unhealthy
29358,safe
27564,safe
23028,safe
10288,safe
11078,unhealthy for sensitive groups
30099,safe
16683,safe
23364,safe
31446,safe
13924,unhealthy for sensitive groups
25442,safe
33205,safe
2723,safe
14994,safe
21444,safe
32572,safe
743,safe
26763,safe
22457,safe
5189,safe
27897,safe
20832,safe
13368,safe
14360,safe
27122,safe
33985,safe
18418,safe
7120,safe
23810,unhealthy for sensitive groups
32283,safe
7382,safe
10978,safe
26401,safe
28714,safe
190,safe
1614,safe
27619,unhealthy for sensitive groups
14809,safe
12251,safe
4103,safe
9657,unhealthy for sensitive groups
13878,unhealthy for sensitive groups
10744,safe
8845,safe
4960,safe
16419,safe
33101,safe
29465,safe
15748,safe
16177,safe
16161,safe
6614,safe
5544,safe
24459,safe
8065,safe
16176,safe
28741,safe
18192,safe
15756,safe
511,safe
10830,unhealthy for sensitive groups
13106,safe
18377,safe
23644,safe
33642,safe
8239,safe
9426,safe
6832,safe
12036,unhealthy
6690,safe
34540,safe
3704,safe
15671,safe
25779,unhealthy for sensitive groups
23801,safe
6962,safe
18662,safe
32753,safe
31186,unhealthy for sensitive groups
24720,safe
2790,safe
23145,safe
21179,safe
11825,safe
14073,safe
15040,safe
20923,safe
9058,unhealthy for sensitive groups
14806,safe
4607,safe
8340,safe
31443,safe
20163,unhealthy for sensitive groups
33128,safe
12605,safe
10064,safe
20552,unhealthy for sensitive groups
21041,safe
27646,safe
6248,safe
19762,safe
27422,safe
18717,safe
13253,safe
3633,safe
9976,unhealthy
10574,safe
18266,safe
13379,unhealthy for sensitive groups
26739,safe
7854,unhealthy for sensitive groups
6213,safe
34664,safe
13473,safe
27277,safe
27699,safe
33557,safe
27771,safe
10594,safe
15345,safe
22528,safe
19938,safe
22848,safe
18821,safe
19470,safe
9604,unhealthy
5134,safe
21488,safe
23265,safe
26362,safe
10478,safe
9550,safe
8332,safe
18949,safe
1441,safe
2879,safe
31282,safe
24261,safe
7159,safe
3050,safe
8363,safe
18098,safe
16654,safe
17220,safe
10363,safe
21385,safe
14144,safe
3021,safe
18087,safe
23627,safe
14646,safe
3752,safe
16284,unhealthy for sensitive groups
29300,safe
26576,safe
14655,safe
338,safe
33959,safe
6229,safe
4289,safe
26314,safe
16923,safe
2742,safe
25098,safe
18586,safe
24008,safe
34589,safe
11849,safe
11314,safe
9073,unhealthy for sensitive groups
13192,safe
17267,safe
2169,safe
27209,safe
29906,safe
3916,safe
3436,safe
29199,safe
17754,safe
33442,safe
25218,safe
18906,safe
34707,safe
18195,safe
31577,safe
18030,safe
845,unhealthy for sensitive groups
6273,safe
2384,safe
232,unhealthy for sensitive groups
10466,safe
26664,safe
22789,unhealthy for sensitive groups
2116,safe
33725,safe
14611,safe
13207,unhealthy for sensitive groups
15104,safe
7996,safe
26195,safe
12621,safe
19216,safe
1821,safe
1156,safe
16665,safe
17535,safe
31836,safe
34505,safe
2635,safe
23054,safe
27617,unhealthy for sensitive groups
25560,safe
14507,safe
29202,safe
4958,safe
26820,safe
15993,safe
11439,unhealthy for sensitive groups
31076,safe
14954,safe
17075,safe
11992,safe
12531,safe
27518,safe
29057,safe
18694,safe
16867,safe
305,safe
9913,safe
249,safe
14519,safe
5379,safe
15764,unhealthy for sensitive groups
13959,safe
25088,safe
10791,safe
12195,safe
15012,safe
4015,safe
31811,unhealthy for sensitive groups
7537,safe
11077,unhealthy
13767,safe
7958,safe
23138,safe
11839,safe
22675,safe
16856,safe
28682,safe
28137,safe
8771,safe
25644,unhealthy for sensitive groups
32046,safe
4606,safe
3947,safe
31684,safe
2907,safe
9638,safe
32289,safe
8369,safe
22676,safe
27107,safe
24918,safe
22450,safe
14983,safe
20219,unhealthy for sensitive groups
27128,safe
9466,safe
21412,safe
21301,safe
20726,safe
6016,safe
13909,unhealthy
71,unhealthy for sensitive groups
18478,safe
34188,safe
24886,safe
2778,unhealthy for sensitive groups
20356,safe
3482,unhealthy for sensitive groups
13966,safe
3244,safe
24927,safe
18783,safe
34150,unhealthy for sensitive groups
14074,safe
25224,safe
11174,safe
6758,safe
30059,safe
19673,safe
5263,safe
24436,safe
30808,unhealthy for sensitive groups
23485,safe
20684,safe
20609,safe
9001,safe
33827,safe
10816,safe
599,safe
6561,safe
1795,safe
2617,safe
6014,safe
20299,safe
8739,safe
20837,safe
21350,safe
4506,safe
5500,safe
29224,safe
26028,safe
30755,safe
6298,safe
19877,safe
2109,safe
1310,safe
21768,unhealthy for sensitive groups
16672,safe
20582,unhealthy for sensitive groups
9304,safe
5415,safe
24349,safe
5484,safe
34358,unhealthy for sensitive groups
11699,safe
8304,safe
17722,safe
33070,safe
18080,safe
5242,safe
3410,safe
25672,safe
23269,safe
17235,safe
5621,safe
20622,safe
