,aqi_ozone
1204330,safe
366023,safe
606023,safe
431664,unhealthy for sensitive groups
171583,safe
147852,safe
1066266,safe
944342,safe
848998,safe
296972,safe
693475,safe
782609,unhealthy for sensitive groups
505428,safe
261191,safe
580776,safe
101946,safe
232644,safe
17370,safe
822200,safe
444288,unhealthy for sensitive groups
676218,unhealthy for sensitive groups
769063,safe
621256,safe
1096614,safe
147991,safe
445718,safe
245651,safe
941276,safe
216731,safe
906695,safe
179849,safe
533200,safe
991181,unhealthy for sensitive groups
512447,safe
829479,safe
798324,safe
714106,safe
1161547,safe
1203692,safe
545396,safe
548253,safe
994322,safe
666127,safe
668108,safe
18963,safe
386410,unhealthy for sensitive groups
868006,safe
264820,safe
134049,safe
749080,safe
664965,safe
1017238,safe
383236,unhealthy for sensitive groups
801020,safe
602156,safe
952126,unhealthy for sensitive groups
216169,safe
595807,safe
288023,safe
165170,safe
1168893,safe
906108,safe
221826,safe
527214,safe
1099336,safe
1124421,safe
995126,safe
1126398,safe
3501,unhealthy for sensitive groups
912645,safe
429232,safe
223489,safe
462190,unhealthy for sensitive groups
635232,safe
847722,safe
310222,safe
726222,safe
236283,unhealthy for sensitive groups
741807,safe
468351,safe
748860,safe
370277,safe
669879,unhealthy for sensitive groups
1145361,safe
379903,safe
68476,safe
375057,safe
36987,unhealthy for sensitive groups
1186671,safe
747775,safe
271431,safe
1064252,safe
981305,safe
385221,safe
1001424,safe
1071519,safe
1149184,unhealthy
3978,safe
1143887,safe
163521,safe
255417,safe
1193907,safe
602855,safe
440745,safe
30924,safe
1035969,safe
868868,safe
129397,safe
905233,safe
747439,safe
587992,safe
319712,safe
1149992,safe
868472,safe
911975,safe
545035,safe
1063251,safe
908725,safe
1172445,safe
948551,safe
23931,safe
691948,safe
37572,safe
722268,safe
36603,safe
665283,safe
1015525,safe
1009867,safe
1187973,safe
273128,safe
138175,unhealthy for sensitive groups
545954,safe
633861,safe
691748,safe
1028061,unhealthy
221065,safe
121536,safe
349530,safe
751559,safe
970625,safe
36822,safe
213167,safe
7704,safe
989266,safe
1129987,safe
209856,safe
598669,unhealthy
456100,safe
884508,safe
7524,safe
831479,safe
962126,safe
693107,safe
403897,safe
1197031,safe
673964,safe
561994,safe
92917,safe
978209,safe
695155,safe
16596,safe
219938,safe
3276,unhealthy for sensitive groups
908907,safe
787176,unhealthy for sensitive groups
81730,safe
469352,safe
727026,safe
325449,safe
402456,safe
685329,safe
931397,safe
930216,unhealthy for sensitive groups
1030235,safe
261355,safe
432028,safe
1201951,safe
676777,safe
947302,safe
77276,safe
378997,unhealthy for sensitive groups
313744,safe
910119,safe
817563,safe
582563,very unhealthy
115419,safe
705512,safe
61031,safe
132155,safe
57919,safe
1206041,safe
250958,safe
528418,safe
732074,safe
567785,safe
70299,safe
1110887,safe
200610,unhealthy for sensitive groups
62239,unhealthy for sensitive groups
9162,safe
992777,safe
195430,safe
913476,safe
393780,safe
605092,safe
840624,safe
257499,safe
1153833,safe
930953,safe
282821,safe
469067,safe
846243,safe
757952,safe
518782,safe
1192952,safe
72730,safe
716241,safe
1111854,safe
243795,safe
1206289,safe
635779,safe
806803,safe
34389,safe
59759,safe
965217,safe
488075,safe
364180,safe
83967,safe
310973,safe
500476,safe
801906,unhealthy for sensitive groups
122656,safe
1113760,safe
988592,safe
194030,safe
266513,safe
542012,safe
689257,safe
1171574,safe
466816,safe
816444,safe
282654,safe
1093335,unhealthy for sensitive groups
955573,safe
406692,safe
53770,unhealthy for sensitive groups
795895,safe
711668,safe
474811,safe
792221,safe
466829,safe
23391,safe
299522,safe
1134938,safe
864098,safe
632169,safe
907755,safe
588176,safe
908033,safe
443046,safe
791908,safe
484704,safe
718259,unhealthy for sensitive groups
677597,safe
708262,safe
1205992,safe
18441,safe
1145193,safe
348560,safe
1063414,safe
331014,safe
143256,very unhealthy
1127826,safe
912833,safe
104326,safe
1072943,unhealthy
808587,safe
430783,safe
1197056,safe
473707,safe
504872,safe
948584,safe
213372,unhealthy for sensitive groups
1096652,unhealthy for sensitive groups
723142,safe
675418,safe
754339,safe
906004,safe
904101,safe
1047448,safe
749371,safe
25704,safe
209885,safe
854541,safe
111831,safe
750272,safe
231508,unhealthy for sensitive groups
61993,safe
1047456,safe
1091086,safe
1040488,safe
1058812,safe
331194,safe
1060810,safe
115885,safe
904748,safe
384799,unhealthy for sensitive groups
742657,safe
821196,safe
7695,safe
200606,unhealthy for sensitive groups
278957,safe
907972,safe
601176,safe
370081,safe
1177626,safe
767296,safe
88030,unhealthy for sensitive groups
395190,safe
23949,safe
414417,safe
680425,safe
320971,safe
1203105,safe
731874,safe
243577,safe
459984,safe
12411,safe
687714,safe
3843,unhealthy for sensitive groups
307283,unhealthy
1051766,safe
926878,safe
815628,safe
905618,safe
327481,safe
153969,safe
859733,safe
29853,safe
44167,safe
364156,safe
2268,safe
166235,safe
343220,safe
280731,unhealthy for sensitive groups
499620,safe
899587,safe
976111,safe
39323,safe
1154068,safe
1097967,safe
1142895,safe
489860,safe
100611,safe
378767,safe
357125,unhealthy for sensitive groups
478789,safe
1953,safe
907930,safe
1090023,safe
136564,safe
1150030,safe
1138624,safe
565021,safe
173326,safe
305939,safe
34542,safe
80194,safe
373688,safe
395274,safe
174182,safe
55658,safe
519898,safe
1269,safe
440156,safe
111710,safe
422594,safe
389576,safe
989128,safe
925337,safe
663251,safe
358458,unhealthy for sensitive groups
94890,safe
423779,safe
855036,safe
103365,safe
907384,safe
453126,safe
972736,safe
262818,safe
729877,safe
678853,safe
94932,safe
888875,safe
461178,safe
1114354,safe
7443,unhealthy
678290,safe
622508,safe
788548,very unhealthy
494621,safe
983567,unhealthy for sensitive groups
568506,safe
81923,safe
797504,safe
1036430,safe
147593,safe
692704,safe
522568,safe
587842,safe
1073878,safe
364492,safe
765562,safe
290210,safe
350366,unhealthy
457266,safe
60449,safe
688824,safe
905037,safe
590005,safe
23670,safe
807841,safe
1194476,safe
1205113,safe
255622,safe
81292,unhealthy for sensitive groups
313548,unhealthy for sensitive groups
1196989,safe
1204160,safe
244171,safe
672880,safe
906263,safe
1193421,safe
484294,safe
205086,unhealthy for sensitive groups
1096417,safe
167420,safe
1085160,safe
274361,safe
288007,safe
952872,safe
1069822,safe
748563,safe
1038729,safe
267746,safe
994096,safe
210508,safe
107535,safe
419876,safe
2214,safe
514775,safe
227239,safe
987632,safe
574345,safe
488449,safe
905585,safe
884140,safe
788568,unhealthy for sensitive groups
631695,safe
762786,safe
524769,safe
483344,safe
22734,safe
585346,safe
833995,safe
1158666,safe
480354,safe
375112,safe
524748,unhealthy for sensitive groups
401642,safe
364247,safe
243808,safe
413706,safe
831887,safe
978771,unhealthy for sensitive groups
13968,safe
365425,safe
324169,safe
975005,safe
124053,safe
14949,safe
1122101,safe
656302,safe
688489,safe
907855,safe
545118,safe
330571,safe
267742,safe
368117,safe
1038905,safe
908072,safe
619032,safe
1122570,safe
787310,unhealthy for sensitive groups
468026,safe
911164,safe
583829,unhealthy for sensitive groups
414145,safe
593540,safe
992505,safe
89538,safe
916960,safe
854587,safe
1157757,safe
545609,safe
1155307,safe
619195,safe
554030,safe
118222,safe
431823,safe
970382,safe
809846,safe
1059754,safe
807632,unhealthy for sensitive groups
582438,unhealthy for sensitive groups
656318,safe
1155600,safe
267600,safe
1024023,safe
663152,safe
770907,safe
463247,safe
219395,safe
4923,safe
64328,safe
906509,safe
1105764,safe
1153766,safe
450818,safe
357404,safe
363575,safe
616663,safe
250540,safe
719958,safe
582359,unhealthy for sensitive groups
1019341,safe
995026,unhealthy for sensitive groups
67678,safe
316535,safe
604092,unhealthy for sensitive groups
1060525,safe
89091,unhealthy for sensitive groups
612605,safe
318428,safe
1093905,safe
703439,safe
920118,safe
908177,safe
174326,safe
222039,safe
685084,safe
184255,safe
430269,safe
66591,safe
1141534,safe
160662,safe
37179,safe
345227,safe
533043,safe
42484,safe
1121904,safe
908683,unhealthy for sensitive groups
218718,safe
1079809,safe
374023,safe
907293,safe
644380,safe
1169744,safe
335511,safe
510241,safe
934002,safe
403150,safe
197053,safe
151561,safe
25947,safe
859832,safe
228969,safe
524551,unhealthy
46233,safe
122815,safe
1185331,safe
839800,safe
487738,safe
135730,safe
413096,safe
666523,safe
1198702,safe
657960,safe
48012,unhealthy for sensitive groups
645055,safe
703383,safe
1159570,safe
681059,safe
709405,safe
907174,safe
361345,unhealthy
171883,safe
738948,unhealthy for sensitive groups
353040,unhealthy for sensitive groups
34956,safe
1120103,safe
235843,safe
347138,unhealthy
650707,safe
760475,safe
7137,safe
543906,safe
861317,safe
739149,unhealthy for sensitive groups
855337,unhealthy
681083,safe
900566,safe
132611,safe
349702,unhealthy for sensitive groups
1051469,safe
56599,safe
649255,unhealthy for sensitive groups
1203743,safe
633456,safe
16128,safe
1205794,safe
577882,safe
328183,safe
940019,safe
1074640,safe
179386,safe
1176784,safe
237308,safe
441520,unhealthy for sensitive groups
318236,safe
1000888,safe
913667,safe
786726,unhealthy for sensitive groups
912215,unhealthy for sensitive groups
177855,safe
393764,safe
909832,safe
910843,safe
562231,safe
153907,safe
678510,unhealthy for sensitive groups
950159,safe
13725,safe
926577,safe
7578,safe
1132923,safe
1067979,unhealthy for sensitive groups
1138716,safe
430131,safe
158732,safe
226784,safe
913608,safe
69488,safe
690748,safe
1173144,safe
846060,safe
60591,unhealthy for sensitive groups
723942,unhealthy for sensitive groups
589780,safe
841491,safe
1110711,unhealthy for sensitive groups
1188970,safe
1187127,safe
609853,safe
904952,safe
1126289,safe
1145227,safe
522743,safe
892871,safe
23238,safe
120887,safe
978184,safe
915558,safe
174829,safe
672025,safe
507122,safe
406471,safe
17613,safe
336954,safe
693996,safe
333043,safe
827941,safe
334558,safe
90169,unhealthy for sensitive groups
800853,safe
825184,safe
656168,safe
88295,safe
208292,safe
815894,safe
1203569,safe
1181583,safe
787943,safe
192709,safe
1103134,safe
279829,safe
78614,safe
137116,safe
63292,safe
423906,safe
372924,safe
894827,safe
1095236,safe
998230,safe
341950,safe
124607,unhealthy for sensitive groups
939479,safe
723534,safe
146389,safe
986795,safe
1080897,safe
211997,unhealthy for sensitive groups
251843,safe
392366,safe
417204,safe
24633,safe
616358,safe
748472,safe
1054304,safe
77544,unhealthy for sensitive groups
358330,unhealthy for sensitive groups
971789,safe
384318,unhealthy
50390,safe
857732,safe
365463,safe
671780,safe
257683,safe
564645,safe
221621,safe
747529,safe
1172751,safe
847248,safe
113509,safe
866736,safe
347874,safe
227760,safe
287108,unhealthy for sensitive groups
556814,safe
586916,safe
125723,safe
586983,safe
763137,safe
973489,safe
63492,safe
1129681,safe
193135,safe
942872,safe
1177986,safe
860946,safe
52673,safe
1204126,safe
924566,safe
826180,safe
913807,safe
928365,safe
250693,safe
1000084,safe
385426,safe
694630,safe
1083711,safe
415783,safe
801828,unhealthy for sensitive groups
52606,safe
1094901,safe
982665,safe
315528,safe
97987,safe
1047414,unhealthy for sensitive groups
117812,safe
811910,safe
926711,safe
274382,safe
489961,safe
23265,unhealthy for sensitive groups
1098930,safe
19890,safe
282185,safe
347034,safe
109775,safe
724934,safe
269148,safe
179102,safe
154296,safe
451788,safe
92392,unhealthy for sensitive groups
408352,safe
907458,safe
320795,safe
71745,safe
600945,safe
1060022,safe
449065,safe
6057,safe
372342,safe
752106,safe
170375,safe
127771,safe
1093101,unhealthy
723411,safe
986058,safe
911466,safe
625434,safe
656217,safe
680863,safe
114082,safe
858398,safe
316605,safe
20682,safe
633419,safe
1150624,safe
772004,safe
493729,safe
153011,safe
314540,safe
220015,safe
186036,safe
682610,safe
281960,safe
269420,safe
35145,safe
909110,safe
811368,safe
856764,safe
1184129,safe
425910,safe
341860,safe
94174,unhealthy for sensitive groups
544190,safe
671237,safe
677914,unhealthy for sensitive groups
1204886,safe
1166452,safe
1188208,safe
777842,safe
78358,unhealthy for sensitive groups
902126,safe
992873,safe
89333,safe
1314,safe
1013326,safe
1108968,safe
1070849,safe
89415,safe
582959,safe
626261,safe
912913,safe
317165,safe
565425,safe
368514,safe
1067275,safe
1024946,safe
262337,safe
913167,safe
1031550,safe
1001156,unhealthy for sensitive groups
912403,safe
861354,safe
721656,safe
504993,safe
767346,safe
1122888,safe
1203632,safe
1104449,safe
967403,safe
520724,safe
10818,safe
1095944,safe
1077731,safe
810572,safe
1127566,safe
777204,unhealthy for sensitive groups
195066,safe
240565,safe
847640,safe
914089,safe
715335,safe
867185,safe
812289,safe
827712,safe
130731,unhealthy for sensitive groups
554038,safe
991215,safe
531042,safe
661773,safe
7776,safe
1086011,safe
1024912,safe
208208,safe
144602,very unhealthy
3942,safe
8316,safe
407529,safe
383302,safe
1015965,safe
924805,safe
1181751,safe
3996,safe
997129,safe
496707,safe
168556,safe
923637,unhealthy for sensitive groups
299091,safe
1204520,safe
971823,safe
452845,safe
346428,safe
1156781,safe
634195,safe
704978,safe
997564,unhealthy for sensitive groups
481207,safe
1054849,safe
550705,safe
900562,safe
984462,safe
816323,safe
628899,safe
939613,safe
162680,safe
1090128,unhealthy for sensitive groups
757393,safe
531706,safe
930995,safe
92273,unhealthy for sensitive groups
1044457,safe
176996,safe
154927,safe
1088645,safe
60136,unhealthy for sensitive groups
965402,safe
5850,safe
123045,safe
1081601,safe
440336,safe
508121,safe
1184272,unhealthy for sensitive groups
161309,safe
687037,safe
375279,safe
373900,safe
142383,safe
6174,safe
759744,safe
714865,safe
762304,safe
826810,safe
838116,safe
966323,safe
626176,safe
681319,safe
731282,safe
1198300,safe
389283,safe
747579,safe
90894,safe
624194,safe
733915,safe
310645,safe
73175,safe
1202190,safe
275751,unhealthy for sensitive groups
228618,safe
1125326,safe
326485,safe
1205944,safe
147315,safe
65127,unhealthy for sensitive groups
675210,safe
399557,safe
47102,safe
116557,safe
1189070,safe
740761,unhealthy for sensitive groups
18072,safe
275575,safe
1179196,safe
37041,unhealthy for sensitive groups
133840,safe
352198,safe
403468,safe
117931,safe
224985,safe
772920,safe
254664,safe
875739,safe
583881,safe
933529,safe
145335,safe
862297,safe
180734,safe
672376,safe
416590,safe
839857,safe
875133,safe
292286,safe
638884,safe
880500,safe
1201985,safe
1004326,unhealthy for sensitive groups
1165098,safe
24480,safe
1049836,safe
412596,safe
568785,safe
520111,safe
183799,safe
1029741,safe
311038,safe
342995,safe
1191779,safe
597135,unhealthy for sensitive groups
565363,safe
775656,safe
1157422,safe
827148,safe
19467,safe
554080,safe
165621,safe
96939,unhealthy for sensitive groups
901145,safe
854816,safe
95534,safe
323661,safe
1004665,unhealthy for sensitive groups
10215,safe
331836,safe
911016,safe
224776,safe
673764,safe
954166,safe
1121799,safe
25983,safe
185413,safe
864616,unhealthy
1081337,safe
462995,safe
468657,safe
210499,safe
760790,safe
1097163,safe
653858,safe
561278,safe
29286,safe
1116129,safe
918237,safe
1165261,safe
569123,safe
442315,unhealthy for sensitive groups
385154,safe
937674,safe
12483,unhealthy for sensitive groups
231115,safe
192766,safe
565746,safe
258869,safe
836562,safe
1048902,safe
601487,safe
234125,safe
831279,safe
35199,safe
174275,safe
776796,safe
1203998,safe
894403,safe
150567,safe
478969,safe
449498,safe
1139763,safe
428125,safe
830679,safe
639236,safe
339943,safe
301135,safe
1096279,safe
735447,safe
1128379,safe
533158,safe
832412,safe
986167,safe
200439,safe
896481,safe
531,safe
405278,safe
1074845,safe
1052399,safe
729138,safe
11997,safe
947294,safe
796419,safe
502568,safe
959431,safe
884422,safe
378284,safe
113861,safe
574929,safe
476551,safe
254171,safe
51660,safe
1204289,safe
413100,safe
73200,safe
244790,safe
804863,safe
1040547,safe
1204367,safe
651189,safe
910367,safe
911703,unhealthy for sensitive groups
776436,safe
1007075,safe
718769,safe
604597,safe
179222,safe
612016,safe
449981,safe
748955,safe
1149460,safe
131425,safe
494381,safe
261276,safe
1014105,safe
898978,safe
287567,safe
744373,safe
87030,safe
195414,safe
942470,safe
1118381,safe
1063682,unhealthy for sensitive groups
913474,safe
1087406,safe
1072843,safe
730898,safe
315142,safe
66440,safe
384196,unhealthy for sensitive groups
851289,safe
532690,safe
304303,unhealthy
599236,unhealthy
1076256,safe
1036752,safe
44581,safe
118037,safe
342197,safe
905152,safe
144458,very unhealthy
613385,safe
10206,safe
1085298,safe
21717,safe
484450,safe
555030,safe
984123,safe
1050296,unhealthy for sensitive groups
75018,safe
554034,safe
128770,unhealthy for sensitive groups
1056101,safe
692729,safe
465393,safe
1205799,safe
460031,safe
592373,safe
508301,safe
19413,safe
727745,safe
189515,safe
108179,safe
763170,safe
976869,safe
705826,safe
24174,safe
1128169,safe
844115,safe
698382,safe
83647,safe
289637,safe
1009322,safe
999374,safe
1170022,unhealthy
33102,safe
762962,safe
529037,safe
764622,safe
23580,safe
1025750,unhealthy
61821,safe
54734,safe
973589,safe
11880,safe
61944,safe
1168064,unhealthy for sensitive groups
10809,safe
223915,safe
470369,safe
891750,safe
88622,safe
892651,safe
789544,safe
629899,safe
149104,safe
42107,safe
1061404,safe
1092757,safe
768742,safe
887966,safe
36972,safe
1046380,safe
665573,safe
710476,safe
11322,safe
1056771,safe
826094,safe
169268,safe
1166217,safe
993259,safe
630349,safe
1010097,safe
644626,safe
978737,safe
625430,safe
671470,unhealthy for sensitive groups
472967,safe
304579,very unhealthy
663202,safe
836879,safe
504834,safe
407206,safe
521481,safe
673891,safe
1205419,safe
560981,safe
607876,unhealthy
316555,safe
750963,safe
701729,safe
371669,safe
399399,safe
1133660,safe
500732,safe
961070,safe
717441,safe
663451,safe
527874,safe
1177257,safe
18,safe
525147,safe
1137794,safe
680859,safe
1067334,safe
68566,safe
1164298,safe
439734,safe
581730,safe
1079436,safe
148807,safe
82667,safe
64418,safe
1204036,safe
834870,safe
260874,unhealthy for sensitive groups
404513,safe
888206,safe
1098968,safe
22446,safe
359272,unhealthy for sensitive groups
908433,safe
1152656,safe
954736,safe
258462,safe
499478,safe
1154834,safe
452302,safe
63755,safe
31968,safe
46811,safe
24615,unhealthy for sensitive groups
576623,unhealthy for sensitive groups
264854,safe
892717,safe
297841,safe
1146278,safe
433964,safe
71753,safe
596848,safe
845656,safe
578302,safe
586729,safe
896602,safe
208312,safe
410924,safe
31221,unhealthy for sensitive groups
42295,safe
391698,safe
223982,safe
549434,safe
484164,safe
232406,safe
701545,safe
271276,safe
867528,safe
687530,safe
962930,safe
1092359,safe
271957,safe
1184364,safe
1163934,safe
254990,safe
411109,safe
29529,safe
995604,safe
781069,safe
24831,safe
399779,safe
59371,safe
842487,safe
954359,safe
896010,safe
1092330,safe
329177,safe
1084075,safe
553834,safe
1189439,safe
962063,safe
211089,safe
376887,safe
235617,unhealthy for sensitive groups
77883,unhealthy for sensitive groups
209006,safe
1093327,safe
369216,safe
694246,safe
181340,safe
596676,unhealthy for sensitive groups
907640,safe
739443,safe
428116,safe
1002018,safe
670345,safe
626510,safe
420248,safe
122430,safe
958991,safe
372704,safe
409980,safe
732057,safe
936674,safe
141178,safe
453457,safe
711753,safe
109604,safe
220003,safe
605197,safe
524679,unhealthy for sensitive groups
444020,safe
1110007,safe
518619,safe
482802,safe
629434,safe
1080407,safe
623448,safe
633836,safe
826622,safe
1101041,safe
33822,safe
124037,safe
1132349,safe
73342,safe
798599,safe
307022,very unhealthy
329575,safe
1028329,safe
869389,safe
984529,safe
1130087,safe
757760,safe
1004393,safe
1205914,safe
1040170,unhealthy for sensitive groups
753979,safe
818449,safe
206799,unhealthy
588863,safe
384385,safe
426312,safe
1034654,safe
1042456,unhealthy
100047,safe
381319,safe
761304,safe
2178,safe
634146,safe
104055,safe
258097,safe
1008776,safe
612768,safe
142440,safe
387703,safe
1079583,safe
872394,safe
722619,safe
698116,safe
224116,safe
1090621,safe
843788,safe
1206447,safe
596124,unhealthy
540644,safe
144299,safe
682973,safe
310854,safe
668316,safe
1202563,safe
962637,safe
592761,safe
327723,safe
41135,safe
590230,safe
546650,safe
1138892,safe
1094466,safe
693200,safe
32319,safe
16209,unhealthy for sensitive groups
737499,safe
1125259,safe
989869,safe
698440,safe
1142245,safe
912874,safe
975206,safe
888721,unhealthy for sensitive groups
315958,safe
996437,safe
1205524,safe
581639,safe
821258,safe
190968,safe
980974,unhealthy for sensitive groups
901889,safe
632687,safe
552858,safe
1092954,very unhealthy
655167,safe
81856,safe
954334,safe
363705,safe
338655,safe
971932,safe
1031617,safe
473132,safe
332326,safe
123807,safe
270265,safe
166793,safe
180658,safe
1113454,safe
1003493,safe
11358,safe
746745,safe
1032546,safe
760332,safe
1048969,safe
1008718,safe
901345,safe
414792,safe
135188,safe
822314,safe
495729,safe
745761,safe
1138615,safe
859333,safe
426119,safe
1001893,safe
662602,safe
697380,safe
884528,safe
1085763,safe
32949,safe
803158,safe
286908,safe
1115455,safe
198757,safe
909645,safe
749909,safe
421433,safe
526135,safe
35217,safe
285603,safe
724897,safe
911018,safe
451612,unhealthy for sensitive groups
626351,safe
783229,safe
102846,safe
1168089,unhealthy for sensitive groups
922121,safe
589063,safe
1176059,safe
310117,unhealthy
900676,safe
1150959,safe
293529,safe
973866,safe
889742,safe
1121837,safe
337439,safe
349842,unhealthy for sensitive groups
525387,safe
777388,safe
656936,safe
1187902,safe
88120,safe
542619,safe
139850,unhealthy for sensitive groups
581459,safe
58013,unhealthy for sensitive groups
435753,safe
354859,safe
788719,safe
1041585,safe
1203675,safe
959456,safe
225288,unhealthy
1094675,safe
867410,safe
890108,safe
750305,safe
1070845,safe
580850,safe
395240,safe
1132014,safe
336151,safe
196430,safe
1069466,safe
938072,safe
420512,safe
162764,safe
286230,safe
296386,safe
156592,unhealthy for sensitive groups
583787,safe
844590,safe
957244,safe
217481,safe
1172307,safe
1134766,safe
60972,unhealthy for sensitive groups
988856,safe
467921,safe
614105,safe
312293,unhealthy for sensitive groups
419552,safe
549385,safe
1089659,safe
1206241,safe
1176311,safe
744247,safe
835187,safe
45791,safe
797199,safe
86736,safe
875714,safe
797819,safe
1098863,safe
118459,safe
681784,safe
483984,safe
575953,safe
963403,safe
174825,safe
900337,safe
380414,safe
625364,safe
944409,safe
440285,safe
1203738,safe
179557,safe
940392,safe
637374,safe
661291,safe
921924,safe
392600,safe
510843,safe
550321,safe
879675,safe
1110015,safe
1013891,safe
491834,safe
460284,safe
1107000,safe
67799,safe
949983,safe
915502,unhealthy for sensitive groups
954593,unhealthy for sensitive groups
764487,safe
116763,safe
1026926,safe
573394,safe
881808,safe
857114,safe
430731,safe
409403,safe
212126,unhealthy
968941,safe
755115,safe
195865,safe
1204678,unhealthy for sensitive groups
544115,safe
624508,safe
286279,safe
381015,safe
579286,safe
40233,safe
846898,safe
1206279,safe
170793,safe
279728,safe
1017506,safe
164715,safe
33831,safe
876510,safe
71569,unhealthy for sensitive groups
349723,unhealthy for sensitive groups
721518,unhealthy for sensitive groups
880316,safe
578175,safe
136133,unhealthy for sensitive groups
1206147,safe
216498,safe
136911,safe
1023797,safe
427891,safe
1150767,safe
303238,safe
1084218,safe
99287,safe
660568,safe
