"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-01-25","8.72",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","66","H,,S","74",",,W","61",",,W","  210",",,W","  210",",,W","15.0",",,W","18.1",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-01-26","7.16",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","66","H,,S","74",",,W","61",",,W","  110",",,W","  120",",,W","12.1",",,W","15.0",",,W","    1",",,W","    1",",,W",,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-01-27","12.53",",,W",,,"0.00","T,,W,2400","0.0",",,W","0.0",",,W","67","H,,S","73",",,W","64",",,W","  130",",,W","  140",",,W","17.0",",,W","21.9",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-01-28","13.20",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","68","H,,S","73",",,W","66",",,W","  130",",,W","  130",",,W","18.1",",,W","23.0",",,W","    1",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-01-29","14.54",",,W",,,"0.11",",,W,2400","0.0",",,W","0.0",",,W","68","H,,S","72",",,W","62",",,W","  320",",,W","  320",",,W","28.0",",,W","32.0",",,W","    1",",,W",,,"    1",",,W",,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-01-30","17.00",",,W",,,"0.03",",,W,2400","0.0",",,W","0.0",",,W","63","H,,S","64",",,W","52",",,W","  320",",,W","  310",",,W","33.1",",,W","44.1",",,W","    1",",,W",,,"    1",",,W",,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-01-31","6.71",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","55","H,,S","65",",,W","45",",,W","  190",",,W","  200",",,W","18.1",",,W","23.0",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-02-01","6.04",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","60","H,,S","68",",,W","55",",,W","  140",",,W","  150",",,W","15.0",",,W","18.1",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-02-02","6.26",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","63","H,,S","71",",,W","58",",,W","  140",",,W","  110",",,W","10.1",",,W","13.0",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-02-03","8.05",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","62","H,,S","68",",,W","57",",,W","   70",",,W","   80",",,W","15.0",",,W","18.1",",,W","    1",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-02-04","8.72",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","64","H,,S","71",",,W","59",",,W","  120",",,W","  120",",,W","13.0",",,W","16.1",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-02-05","6.26",",,W",,,"0.00","T,,W,2400","0.0",",,W","0.0",",,W","66","H,,S","73",",,W","63",",,W","  130",",,W","  120",",,W","14.1",",,W","18.1",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W"
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-02-06","13.20",",,W",,,"1.08",",,W,2400","0.0",",,W","0.0",",,W","65","H,,S","67",",,W","63",",,W","   70",",,W","   70",",,W","29.1",",,W","36.9",",,W","    1",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-02-07","4.70",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","63","H,,S","67",",,W","59",",,W","  120",",,W","  110",",,W","8.9",",,W","13.0",",,W","    1",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-02-08","11.63",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","64","H,,S","68",",,W","59",",,W","  350",",,W","  350",",,W","21.9",",,W","25.9",",,W","    1",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-02-09","13.65",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","63","H,,S","69",",,W","59",",,W","   90",",,W","   80",",,W","21.0",",,W","25.1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-02-10","14.54",",,W",,,"0.03",",,W,2400","0.0",",,W","0.0",",,W","69","H,,S","75",",,W","63",",,W","  160",",,W","  160",",,W","30.0",",,W","36.0",",,W","    1",",,W",,,"    1",",,W",,,,,,,"    1",",,W"
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-02-11","17.67",",,W",,,"0.69",",,W,2400","0.0",",,W","0.0",",,W","62","H,,S","66",",,W","57",",,W","   40",",,W","   30",",,W","28.0",",,W","33.1",",,W","    1",",,W",,,"    1",",,W",,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-02-12","12.08",",,W",,,"0.06",",,W,2400","0.0",",,W","0.0",",,W","64","H,,S","71",",,W","60",",,W","  350",",,W","   40",",,W","21.0",",,W","25.9",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W"
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-02-13","14.09",",,W",,,"0.08",",,W,2400","0.0",",,W","0.0",",,W","57","H,,S","61",",,W","51",",,W","  350",",,W","  350",",,W","28.0",",,W","35.1",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-02-14","6.26",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","56","H,,S","62",",,W","48",",,W","   30",",,W","   30",",,W","10.1",",,W","13.0",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-02-15","8.95",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","59","H,,S","67",",,W","52",",,W","  350",",,W","  350",",,W","28.0",",,W","36.0",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-02-16","11.86",",,W",,,"0.00","T,,W,2400","0.0",",,Z","0.0",",,W","54","H,,S","59",",,W","48",",,W","  350",",,W","  350",",,W","25.9",",,W","33.1",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-02-17","13.20",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","59","H,,S","69",",,W","52",",,W","  160",",,W","  160",",,W","21.0",",,W","25.1",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-02-18","18.12",",,W",,,"0.09",",,W,2400","0.0",",,W","0.0",",,W","67","H,,S","73",",,W","58",",,W","  350",",,W","  340",",,W","33.1",",,W","45.0",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-02-19","14.76",",,W",,,"0.12",",,W,2400","0.0",",,W","0.0",",,W","62","H,,S","64",",,W","55",",,W","  340",",,W","  340",",,W","32.0",",,W","38.9",",,W","    1",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-02-20","19.01",",,W",,,"0.00","T,,W,2400","0.0",",,W","0.0",",,W","62","H,,S","66",",,W","60",",,W","  110",",,W","  100",",,W","28.0",",,W","36.0",",,W",,,,,,,,,,,,,"    1",",,W"
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-02-21","12.30",",,W",,,"0.06",",,W,2400","0.0",",,W","0.0",",,Z","68","H,,S","70",",,W","65",",,W","  110",",,W","  120",",,W","23.9",",,W","32.0",",,W","    1",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-02-22","13.87",",,W",,,"0.00","T,,W,2400","0.0",",,W","0.0",",,W","66","H,,S","69",",,W","59",",,W","  350",",,W","   50",",,W","21.9",",,W","25.9",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-02-23","8.95",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","60","H,,S","66",",,W","55",",,W","   30",",,W","   30",",,W","23.0",",,W","28.0",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-02-24","10.96",",,W",,,"0.02",",,W,2400","0.0",",,W","0.0",",,W","62","H,,S","69",",,W","56",",,W","   80",",,W","   80",",,W","17.0",",,W","23.0",",,W","    1",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-02-25","16.55",",,W",,,"0.01",",,W,2400","0.0",",,W","0.0",",,W","67","H,,S","76",",,W","52",",,W","  280",",,W","  270",",,W","36.9",",,W","48.1",",,W","    1",",,W","    1",",,W",,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-02-26","12.08",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","56","H,,S","65",",,W","48",",,W","  270",",,W","  280",",,W","29.1",",,W","36.0",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-02-27","8.72",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","62","H,,S","76",",,W","50",",,W","  340",",,W","  350",",,W","23.9",",,W","30.0",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-02-28","14.54",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","54","H,,S","57",",,W","48",",,W","  350",",,W","  350",",,W","29.1",",,W","33.1",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-03-01","8.95",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","56","H,,S","66",",,W","47",",,W","  350",",,W","  320",",,W","18.1",",,W","23.9",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-03-02","16.33",",,W",,,"0.00","T,,W,2400","0.0",",,Z","0.0",",,W","55","H,,S","59",",,W","48",",,W","  330",",,W","  340",",,W","25.9",",,W","32.0",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-03-03","10.29",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","54","H,,S","63",",,W","45",",,W","  170",",,W","  170",",,W","21.0",",,W","25.9",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-03-04","17.67",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","66","H,,S","73",",,W","62",",,W","  180",",,W","  200",",,W","21.9",",,W","30.0",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-03-05","17.45",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","67","H,,S","71",",,W","57",",,W","  350",",,W","  360",",,W","28.0",",,W","36.9",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-03-06","12.08",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","57","H,,S","63",",,W","49",",,W","  350",",,W","  360",",,W","28.0",",,W","36.9",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-03-07","10.29",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","59","H,,S","67",",,W","51",",,W","  120",",,W","  120",",,W","17.0",",,W","21.9",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-03-08","13.42",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","63","H,,S","70",",,W","60",",,W","  100",",,W","  110",",,W","21.9",",,W","28.0",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-03-09","13.65",",,W",,,"0.00","T,,W,2400","0.0",",,W","0.0",",,W","66","H,,S","74",",,W","63",",,W","  140",",,W","  130",",,W","21.9",",,W","28.0",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-03-10","14.99",",,W",,,"0.17",",,W,2400","0.0",",,W","0.0",",,W","64","H,,S","66",",,W","57",",,W","  330",",,W","  310",",,W","31.1",",,W","38.9",",,W","    1",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-03-11","13.87",",,W",,,"0.00","T,,W,2400","0.0",",,W","0.0",",,W","59","H,,S","66",",,W","50",",,W","  340",",,W","  340",",,W","32.0",",,W","40.0",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-03-12","6.93",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","58","H,,S","65",",,W","49",",,W","  140",",,W","  130",",,W","15.0",",,W","17.0",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-03-13","8.50",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","60","H,,S","68",",,W","54",",,W","   50",",,W","   50",",,W","18.1",",,W","25.9",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-03-14","8.05",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","61","H,,S","69",",,W","54",",,W","  140",",,W","  130",",,W","14.1",",,W","18.1",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-03-15","10.51",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","64","H,,S","73",",,W","56",",,W","  200",",,W","  200",",,W","19.9",",,W","23.9",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-03-16","13.42",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","68","H,,S","75",",,W","64",",,W","  160",",,W","  170",",,W","18.1",",,W","23.9",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-03-17","11.18",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","68","H,,S","75",",,W","64",",,W","  150",",,W","  150",",,W","18.1",",,W","21.0",",,W","    1",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-03-18","8.05",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","70","H,,S","78",",,W","66",",,W","  150",",,W","  160",",,W","18.1",",,W","21.0",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W"
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-03-19","13.42",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","69","H,,S","73",",,W","65",",,W","   80",",,W","   50",",,W","21.9",",,W","29.1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-03-20","13.42",",,W",,,"0.02",",,W,2400","0.0",",,W","0.0",",,W","67","H,,S","75",",,W","60",",,W","   20",",,W","   20",",,W","32.0",",,W","38.9",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-03-21","12.75",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","66","H,,S","74",",,W","61",",,W","  160",",,W","  160",",,W","21.9",",,W","25.9",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-03-22","12.53",",,W",,,"0.00","T,,W,2400","0.0",",,W","0.0",",,W","71","H,,S","77",",,W","68",",,W","  160",",,W","  160",",,W","19.9",",,W","23.9",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-03-23","5.14",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","70","H,,S","76",",,W","66",",,W","  130",",,W","  120",",,W","14.1",",,W","18.1",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W"
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-03-24","19.46",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","66","H,,S","69",",,W","54",",,W","  340",",,W","  340",",,W","32.0",",,W","38.9",",,W","    1",",,W","    1",",,W",,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-03-25","17.00",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","55","H,,S","63",",,W","48",",,W","   20",",,W","  360",",,W","25.9",",,W","31.1",",,W",,,,,,,,,,,,,,
