"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT21","WT21_ATTRIBUTES"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-01-11","3.58",",,W"," 0926",",,X"," 1109",",,W","0.00",",,0,2400",,,,,,,"65",",,0","43",",,0","   80",",,X","  130",",,X","13.0",",,X","16.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-01-12","6.93",",,W"," 1919",",,X"," 2156",",,W","0.12",",,0,2400",,,,,,,"73",",,0","43",",,0","  320",",,X","  340",",,X","21.0",",,X","28.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-01-13","10.51",",,W"," 0611",",,X"," 1419",",,W","0.00",",,0,2400",,,,,,,"66",",,0","47",",,0","  360",",,X","  340",",,X","19.9",",,X","23.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-01-14","3.36",",,W"," 1039",",,X"," 1144",",,W","0.00",",,0,2400",,,,,,,"64",",,0","39",",,0","   50",",,X","   60",",,X","15.0",",,X","17.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-01-15","3.58",",,W"," 2217",",,X"," 2217",",,W","0.69",",,0,2400",,,,,,,"60",",,0","48",",,0","   70",",,X","   70",",,X","17.0",",,X","23.0",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-01-16","6.49",",,W"," 0756",",,X"," 0706",",,W","1.84",",,0,2400",,,,,,,"56",",,0","48",",,0","   90",",,X","   90",",,X","16.1",",,X","23.0",",,X","    1",",,0",,,,,,,,,,,,,"    1",",,0",,,,,,,"    1",",,X",,,,,"    1",",,0",,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-01-17","8.05",",,W"," 0649",",,X"," 0649",",,W","0.00",",,0,2400",,,,,,,"54",",,0","47",",,0","  360",",,X","  360",",,X","17.0",",,X","19.9",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-01-18","13.20",",,W"," 2351",",,X"," 2156",",,W","1.04",",,0,2400",,,,,,,"48",",,0","41",",,0","   30",",,X","   10",",,X","21.9",",,X","28.0",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-01-19","13.42",",,W"," 0724",",,X"," 0055",",,W","0.85",",,0,2400",,,,,,,"53",",,0","38",",,0","  360",",,X","   50",",,X","25.1",",,X","34.9",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-01-20","8.72",",,W"," 1506",",,X"," 1537",",,W","0.00",",,0,2400",,,,,,,"52",",,0","34",",,0","   90",",,X","  100",",,X","17.9",",,X","23.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-01-21","10.51",",,W"," 1233",",,X"," 1232",",,W","0.05",",,0,2400",,,,,,,"62",",,0","48",",,0","  110",",,X","  110",",,X","19.9",",,X","25.9",",,X","    1",",,0",,,,,,,,,,,,,"    1",",,W",,,,,,,"    1",",,X",,,,,"    1",",,0",,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-01-22","7.83",",,W"," 2147",",,X"," 2154",",,W","0.05",",,0,2400",,,,,,,"75",",,0","52",",,0","   10",",,X","   10",",,X","17.9",",,X","21.9",",,X","    1",",,0",,,,,,,,,,,,,"    1",",,0",,,,,,,"    1",",,X","    1",",,X",,,"    1",",,0",,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-01-23","8.50",",,W"," 0247",",,X"," 0246",",,W","0.90",",,0,2400",,,,,,,"52",",,0","46",",,0","   30",",,X","   20",",,X","15.0",",,X","17.9",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,X","    1",",,X",,,"    1",",,0",,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-01-24","13.87",",,W"," 1016",",,X"," 1016",",,W","0.30",",,0,2400",,,,,,,"49",",,0","42",",,0","   30",",,X","   30",",,X","21.9",",,X","25.9",",,X","    1",",,0",,,,,,,,,,,,,"    1",",,W",,,,,,,"    1",",,X","    1",",,X",,,"    1",",,0",,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-01-25","10.51",",,W"," 1025",",,X"," 1032",",,W","0.44",",,0,2400",,,,,,,"47",",,0","40",",,0","   50",",,X","   50",",,X","17.0",",,X","21.0",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-01-26","3.36",",,W"," 1407",",,X"," 1356",",,W","0.00",",,0,2400",,,,,,,"64",",,0","42",",,0","  320",",,X","  310",",,X","8.9",",,X","12.1",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-01-27","3.36",",,W"," 1718",",,X"," 1149",",,W","0.00",",,0,2400",,,,,,,"57",",,0","42",",,0","   90",",,X","   50",",,X","8.1",",,X","15.0",",,X","    1",",,0","    1",",,X",,,,,,,,,,,"    1",",,W",,,,,,,"    1",",,X",,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-01-28","9.17",",,W"," 1259",",,X"," 1115",",,W","0.00",",,0,2400",,,,,,,"73",",,0","41",",,0","  180",",,X","  150",",,X","19.9",",,X","25.1",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-01-29","15.66",",,W"," 1906",",,X"," 1908",",,W","0.00","T,,0,2400",,,,,,,"80",",,0","48",",,0","  340",",,X","  350",",,X","29.1",",,X","36.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-01-30","12.08",",,W"," 0125",",,X"," 0124",",,W","0.00","T,,0,2400",,,,,,,"56",",,0","39",",,0","   30",",,X","   30",",,X","29.1",",,X","34.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-01-31","14.99",",,W"," 1605",",,X"," 1604",",,W","0.15",",,0,2400",,,,,,,"68",",,0","47",",,0","  310",",,X","  310",",,X","31.1",",,X","40.9",",,X","    1",",,0",,,"    1",",,0",,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-02-01","4.92",",,W"," 2354",",,X"," 2354",",,W","0.00",",,0,2400",,,,,,,"59",",,0","35",",,0","  320",",,X","  310",",,X","21.0",",,X","23.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-02-02","6.26",",,W"," 1136",",,X"," 1506",",,W","0.00","T,,0,2400",,,,,,,"75",",,0","45",",,0","  210",",,X","  150",",,X","17.0",",,X","23.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,0",,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-02-03","9.62",",,W"," 1629",",,X"," 1639",",,W","0.01",",,0,2400",,,,,,,"77",",,0","65",",,0","  180",",,X","  190",",,X","21.0",",,X","25.9",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,X","    1",",,X",,,"    1",",,0",,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-02-04","12.75",",,W"," 1256",",,X"," 1255",",,W","0.00",",,0,2400",,,,,,,"78",",,0","69",",,0","  180",",,X","  190",",,X","21.0",",,X","31.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-02-05","13.65",",,W"," 2045",",,X"," 2038",",,W","0.00","T,,0,2400",,,,,,,"78",",,0","62",",,0","  340",",,X","  340",",,X","30.0",",,X","38.0",",,X",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,"    1",",,0",,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-02-06","9.84",",,W"," 0311",",,X"," 0308",",,W","0.00",",,0,2400",,,,,,,"64",",,0","43",",,0","  320",",,X","  320",",,X","25.1",",,X","32.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-02-07","8.72",",,W"," 1417",",,X"," 1457",",,W","0.00",",,0,2400",,,,,,,"72",",,0","41",",,0","  260",",,X","  270",",,X","23.0",",,X","28.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-02-08","7.61",",,W"," 1351",",,X"," 1408",",,W","0.00",",,0,2400",,,,,,,"76",",,0","46",",,0","  210",",,X","  220",",,X","21.9",",,X","29.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-02-09","4.92",",,W"," 0113",",,X"," 1548",",,W","0.00",",,0,2400",,,,,,,"78",",,0","57",",,0","  350",",,X","  270",",,X","17.0",",,X","19.9",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-02-10","5.14",",,W"," 1642",",,X"," 1642",",,W","0.00",",,0,2400",,,,,,,"75",",,0","59",",,0","  100",",,X","  100",",,X","13.0",",,X","16.1",",,X","    1",",,0","    1",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-02-11","8.72",",,W"," 2131",",,X"," 2120",",,W","0.10",",,0,2400",,,,,,,"77",",,0","57",",,0","  160",",,X","  160",",,X","34.9",",,X","49.0",",,X","    1",",,0",,,"    1",",,0",,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-02-12","11.41",",,W"," 1157",",,X"," 1156",",,W","0.37",",,0,2400",,,,,,,"74",",,0","50",",,0","  290",",,X","  290",",,X","36.9",",,X","53.9",",,X","    1",",,0",,,"    1",",,0",,,,,,,,,"    1",",,0",,,,,"    1",",,X",,,,,,,"    1",",,0",,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-02-13","6.26",",,W"," 0040",",,X"," 0034",",,W","0.00",",,0,2400",,,,,,,"63",",,0","40",",,0","  340",",,X","  340",",,X","17.9",",,X","21.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-02-14","8.50",",,W"," 1456",",,X"," 1623",",,W","0.00",",,0,2400",,,,,,,"71",",,0","46",",,0","  150",",,X","  150",",,X","21.9",",,X","28.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-02-15","8.05",",,W"," 2045",",,X"," 2045",",,W","0.47",",,0,2400",,,,,,,"72",",,0","64",",,0","  110",",,X","  110",",,X","15.0",",,X","21.0",",,X","    1",",,0",,,"    1",",,0",,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-02-16","11.41",",,W"," 2048",",,X"," 2047",",,W","0.99",",,0,2400",,,,,,,"73",",,0","54",",,0","  310",",,X","  300",",,X","38.9",",,X","47.0",",,X","    1",",,0",,,"    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,0",,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-02-17","10.51",",,W"," 2356",",,X"," 1145",",,W","0.00",",,0,2400",,,,,,,"73",",,0","52",",,0","   20",",,X","  270",",,X","23.0",",,X","31.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-02-18","9.17",",,W"," 2356",",,X"," 2355",",,W","0.00",",,0,2400",,,,,,,"66",",,0","48",",,0","   20",",,X","   10",",,X","23.0",",,X","30.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-02-19","4.92",",,W"," 1254",",,X"," 1449",",,W","0.00",",,0,2400",,,,,,,"65",",,0","45",",,0","  130",",,X","  110",",,X","14.1",",,X","17.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-02-20","5.82",",,W"," 1405",",,X"," 1405",",,W","1.63",",,0,2400",,,,,,,"74",",,0","58",",,0","  190",",,X","  220",",,X","17.9",",,X","33.1",",,X","    1",",,0","    1",",,W","    1",",,0",,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-02-21","6.26",",,W"," 1528",",,X"," 1527",",,W","0.40",",,0,2400",,,,,,,"77",",,0","65",",,0","  180",",,X","  180",",,X","16.1",",,X","23.0",",,X","    1",",,0","    1",",,X","    1",",,0",,,,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,0",,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-02-22","10.29",",,W"," 0824",",,X"," 0952",",,W","0.01",",,0,2400",,,,,,,"65",",,0","49",",,0","  350",",,X","  310",",,X","16.1",",,X","21.0",",,X","    1",",,0",,,,,,,,,,,,,"    1",",,W",,,,,,,"    1",",,X",,,,,"    1",",,0",,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-02-23","7.38",",,W"," 1702",",,X"," 1702",",,W","0.00",",,0,2400",,,,,,,"70",",,0","45",",,0","  160",",,X","  160",",,X","16.1",",,X","21.9",",,X","    1",",,0",,,,,,,,,,,,,"    1",",,0",,,,,,,"    1",",,X",,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-02-24","6.04",",,W"," 0351",",,X"," 1521",",,W","0.00",",,0,2400",,,,,,,"83",",,0","58",",,0","  340",",,X","  330",",,X","15.0",",,X","19.9",",,X","    1",",,0","    1",",,X",,,,,,,,,,,"    1",",,W",,,,,,,"    1",",,X",,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-02-25","9.84",",,W"," 1400",",,X"," 1359",",,W","0.00","T,,0,2400",,,,,,,"80",",,0","54",",,0","  190",",,X","  200",",,X","23.9",",,X","30.0",",,X","    1",",,0","    1",",,X",,,,,,,,,,,"    1",",,0",,,,,,,"    1",",,X",,,,,"    1",",,0",,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-02-26","18.57",",,W"," 1829",",,X"," 1829",",,W","0.01",",,0,2400",,,,,,,"71",",,0","47",",,0","  340",",,X","  340",",,X","29.1",",,X","36.0",",,X","    1",",,0",,,,,,,,,,,,,"    1",",,W",,,,,,,"    1",",,X",,,,,"    1",",,0",,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-02-27","6.04",",,W"," 0005",",,X"," 0005",",,W","0.00",",,0,2400",,,,,,,"62",",,0","38",",,0","  360",",,X","  360",",,X","13.0",",,X","16.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-02-28","11.18",",,W"," 1426",",,X"," 1658",",,W","0.00",",,0,2400",,,,,,,"72",",,0","45",",,0","  200",",,X","  180",",,X","23.9",",,X","30.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-02-29","7.83",",,W"," 1124",",,X"," 1109",",,W","0.00",",,0,2400",,,,,,,"78",",,0","61",",,0","  160",",,X","  170",",,X","17.9",",,X","28.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-03-01","4.92",",,W"," 1752",",,X"," 1756",",,W","0.00",",,0,2400",,,,,,,"79",",,0","60",",,0","  150",",,X","  150",",,X","15.0",",,X","19.9",",,X","    1",",,W","    1",",,X",,,,,,,,,,,"    1",",,W","    1",",,0",,,,,"    1",",,X",,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-03-02","13.20",",,W"," 1633",",,X"," 1540",",,W","0.02",",,0,2400",,,,,,,"77",",,0","63",",,0","  150",",,X","  150",",,X","25.1",",,X","36.0",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-03-03","17.90",",,W"," 2225",",,X"," 2224",",,W","0.40",",,0,2400",,,,,,,"73",",,0","43",",,0","  300",",,X","  290",",,X","32.0",",,X","44.1",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,"    1",",,X",,,,,,,"    1",",,X",,,,,"    1",",,X",,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-03-04","11.41",",,W"," 1334",",,X"," 1258",",,W","0.00",",,0,2400",,,,,,,"64",",,0","39",",,0","  320",",,X","  310",",,X","25.9",",,X","33.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-03-05","6.71",",,W"," 1638",",,X"," 1443",",,W","0.00",",,0,2400",,,,,,,"71",",,0","42",",,0","  150",",,X","  170",",,X","16.1",",,X","21.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-03-06","10.51",",,W"," 1918",",,X"," 1918",",,W","1.07",",,0,2400",,,,,,,"70",",,0","47",",,0","  340",",,X","  340",",,X","25.9",",,X","33.1",",,X","    1",",,0",,,"    1",",,X",,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-03-07","16.55",",,W"," 1344",",,X"," 1354",",,W","0.00","T,,0,2400",,,,,,,"54",",,0","39",",,0","  340",",,X","  340",",,X","34.9",",,X","45.0",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,,
