"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-01-22",,,,,,,"0.06",",,S,2400",,,,,"69","H,,S","77",",,M","51",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-01-23",,,,,,,"0.02",",,S,2400",,,,,"53","H,,S","63",",,M","45",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-01-24",,,,,,,"0.00",",,S,2400",,,,,"56","H,,S","66",",,M","47",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-01-25",,,,,,,"0.01",",,S,2400",,,,,"60","H,,S","70",",,M","52",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-01-26",,,,,,,"0.01",",,S,2400",,,,,"63","H,,S","72",",,M","56",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-01-27",,,,,,,,,,,,,"66","H,,S","73",",,M","63",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-01-28",,,,,,,"0.03",",,S,2400",,,,,"67","H,,S","71",",,M","64",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-01-29",,,,,,,"0.07",",,S,2400",,,,,"68","H,,S","73",",,M","63",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-01-30",,,,,,,"0.37",",,S,2400",,,,,"61","H,,S","65",",,M","54",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-01-31",,,,,,,"0.28",",,S,2400",,,,,"55","H,,S","62",",,M","49",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-02-01",,,,,,,"0.00",",,S,2400",,,,,"57","H,,S","64",",,M","50",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-02-02",,,,,,,"0.00",",,S,2400",,,,,"64","H,,S","71",",,M","59",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-02-03",,,,,,,"0.00",",,S,2400",,,,,"64","H,,S","71",",,M","59",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-02-04",,,,,,,"0.00",",,S,2400",,,,,"67","H,,S","72",",,M","65",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-02-05",,,,,,,"0.01",",,S,2400",,,,,"66","H,,S","71",",,M","63",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-02-06",,,,,,,"0.00",",,S,2400",,,,,"67","H,,S","73",",,M","64",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-02-07",,,,,,,"0.01",",,S,2400",,,,,"68","H,,S","74",",,M","64",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-02-08",,,,,,,,,,,,,"69","H,,S","75",",,M","66",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-02-09",,,,,,,"0.01",",,S,2400",,,,,"70","H,,S","75",",,M","68",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-02-10",,,,,,,"0.01",",,S,2400",,,,,"70","H,,S","76",",,M","67",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-02-11",,,,,,,"0.01",",,S,2400",,,,,"70","H,,S","77",",,M","55",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-02-12",,,,,,,,,,,,,"54","H,,S","59",",,M","47",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-02-13",,,,,,,"0.00",",,S,2400",,,,,"54","H,,S","65",",,M","44",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-02-14",,,,,,,"0.00",",,S,2400",,,,,"56","H,,S","63",",,M","47",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-02-15",,,,,,,"0.00",",,S,2400",,,,,"60","H,,S","70",",,M","53",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-02-16",,,,,,,"0.00",",,S,2400",,,,,"66","H,,S","74",",,M","61",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-02-17",,,,,,,"0.00",",,S,2400",,,,,"62","H,,S","67",",,M","56",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-02-18",,,,,,,"0.88",",,S,2400",,,,,"61","H,,S","69",",,M","53",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-02-19",,,,,,,"0.01",",,S,2400",,,,,"61","H,,S","65",",,M","54",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-02-20",,,,,,,"0.00",",,S,2400",,,,,"63","H,,S","69",",,M","54",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-02-21",,,,,,,"0.22",",,S,2400",,,,,"56","H,,S","61",",,M","49",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-02-22",,,,,,,"0.00",",,S,2400",,,,,"52","H,,S","61",",,M","47",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-02-23",,,,,,,"0.00",",,S,2400",,,,,"63","H,,S","73",",,M","54",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-02-24",,,,,,,"0.01",",,S,2400",,,,,"60","H,,S","69",",,M","50",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-02-25",,,,,,,"0.00",",,S,2400",,,,,"65","H,,S","72",",,M","61",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-02-26",,,,,,,"0.01",",,S,2400",,,,,"67","H,,S","74",",,M","63",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-02-27",,,,,,,"0.01",",,S,2400",,,,,"69","H,,S","75",",,M","66",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-02-28",,,,,,,"0.00",",,S,2400",,,,,"66","H,,S","72",",,M","58",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-03-01","10.29",",,W"," 2142",",,W"," 2345",",,W","0.00",",,W,2400",,,,,"63",",,W","71",",,W","54",",,W",,,"  160",",,W","  170",",,W","16.1",",,W","17.9",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-03-02","13.87",",,W"," 2143",",,W"," 2143",",,W","0.00","T,,W,2400",,,,,"69",",,W","73",",,W","64",",,W",,,"  330",",,W","  330",",,W","29.1",",,W","33.1",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-03-03","16.11",",,W"," 0159",",,W"," 0158",",,W","0.00",",,W,2400",,,,,"61",",,W","67",",,W","55",",,W",,,"  350",",,W","  340",",,W","34.0",",,W","40.0",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-03-04","16.55",",,W"," 2326",",,W"," 2322",",,W","0.00",",,W,2400",,,,,"64",",,W","70",",,W","57",",,W",,,"  140",",,W","  140",",,W","23.0",",,W","28.0",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-03-05","12.97",",,W"," 0024",",,W"," 0019",",,W","0.00","T,,W,2400",,,,,"70",",,W","74",",,W","65",",,W",,,"  140",",,W","  140",",,W","23.0",",,W","25.1",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-03-06","6.71",",,W"," 2345",",,W"," 2344",",,W","0.00","T,,W,2400",,,,,"71",",,W","77",",,W","65",",,W",,,"   40",",,W","   40",",,W","14.1",",,W","16.1",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-03-07","20.80",",,W"," 2035",",,W"," 2037",",,W","0.00","T,,W,2400",,,,,"62",",,W","68",",,W","56",",,W",,,"   90",",,W","   90",",,W","25.1",",,W","31.1",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-03-08","14.32",",,W"," 0138",",,W"," 0200",",,W","0.06",",,W,2400",,,,,"70",",,W","75",",,W","65",",,W",,,"  110",",,W","  110",",,W","23.0",",,W","28.0",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-03-09","9.40",",,W"," 1019",",,W"," 1016",",,W","0.01",",,W,2400",,,,,"71",",,W","77",",,W","64",",,W",,,"   20",",,W","   10",",,W","16.1",",,W","17.9",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-03-10","10.74",",,W"," 1537",",,W"," 1537",",,W","0.00",",,W,2400",,,,,"69",",,W","73",",,W","64",",,W",,,"  110",",,W","  110",",,W","15.0",",,W","17.0",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-03-11","10.51",",,W"," 1059",",,W"," 1059",",,W","0.40",",,W,2400",,,,,"70",",,W","73",",,W","67",",,W",,,"   90",",,W","   80",",,W","16.1",",,W","17.9",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-03-12","14.76",",,W"," 2337",",,W"," 2330",",,W","0.01",",,W,2400",,,,,"69",",,W","75",",,W","63",",,W",,,"  130",",,W","  130",",,W","25.1",",,W","30.0",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-03-13","21.47",",,W"," 2035",",,W"," 2035",",,W","0.40",",,W,2400",,,,,"58",",,W","70",",,W","46",",,W",,,"  300",",,W","  300",",,W","32.0",",,W","36.9",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-03-14","19.24",",,W"," 0642",",,W"," 0623",",,W","0.00",",,W,2400",,,,,"49",",,W","55",",,W","43",",,W",,,"  300",",,W","  300",",,W","30.0",",,W","36.9",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-03-15","8.72",",,W"," 0102",",,W"," 0141",",,W","0.00",",,W,2400",,,,,"54",",,W","61",",,W","46",",,W",,,"  340",",,W","  350",",,W","19.9",",,W","23.0",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-03-16","13.65",",,W"," 2304",",,W"," 2304",",,W","0.00",",,W,2400",,,,,"62",",,W","71",",,W","53",",,W",,,"  140",",,W","  140",",,W","17.9",",,W","21.0",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-03-17","14.54",",,W"," 2315",",,W"," 2313",",,W","0.00",",,W,2400",,,,,"69",",,W","73",",,W","64",",,W",,,"  110",",,W","  100",",,W","21.0",",,W","25.1",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-03-18","14.54",",,W"," 1538",",,W"," 1540",",,W","0.00",",,W,2400",,,,,"68",",,W","71",",,W","65",",,W",,,"   80",",,W","   80",",,W","23.0",",,W","25.9",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-03-19","8.50",",,W"," 0017",",,W"," 0445",",,W","0.02",",,W,2400",,,,,"67",",,W","69",",,W","65",",,W",,,"  100",",,W","  120",",,W","17.0",",,W","21.0",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-03-20","12.53",",,W"," 0955",",,W"," 0955",",,W","0.00","T,,W,2400",,,,,"66",",,W","72",",,W","60",",,W",,,"  360",",,W","  360",",,W","21.9",",,W","25.1",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-03-21","10.74",",,W"," 0002",",,W"," 0037",",,W","0.00",",,W,2400",,,,,"63",",,W","71",",,W","55",",,W",,,"  350",",,W","  360",",,W","21.0",",,W","23.0",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-03-22","10.07",",,W"," 1315",",,W"," 1306",",,W","0.00",",,W,2400",,,,,"63",",,W","72",",,W","53",",,W",,,"  140",",,W","  140",",,W","19.9",",,W","23.0",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-03-23","12.08",",,W"," 1734",",,W"," 1453",",,W","0.00",",,W,2400",,,,,"70",",,W","74",",,W","65",",,W",,,"  130",",,W","  130",",,W","16.1",",,W","19.9",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-03-24","10.29",",,W"," 1526",",,W"," 1306",",,W","0.01",",,W,2400",,,,,"71",",,W","75",",,W","66",",,W",,,"  140",",,W","  120",",,W","15.0",",,W","17.9",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-03-25","12.53",",,W"," 1219",",,W"," 1221",",,W","0.00",",,W,2400",,,,,"69",",,W","74",",,W","64",",,W",,,"  360",",,W","  360",",,W","23.9",",,W","28.0",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-03-26","13.87",",,W"," 1031",",,W"," 1316",",,W","0.00",",,W,2400",,,,,"63",",,W","67",",,W","59",",,W",,,"   60",",,W","   70",",,W","21.0",",,W","23.0",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-03-27","17.00",",,W"," 0955",",,W"," 1014",",,W","0.00",",,W,2400",,,,,"66",",,W","70",",,W","61",",,W",,,"   90",",,W","   80",",,W","25.9",",,W","31.1",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-03-28","12.53",",,W"," 0518",",,W"," 0518",",,W","0.30",",,W,2400",,,,,"65",",,W","69",",,W","61",",,W",,,"  230",",,W","  230",",,W","30.0",",,W","34.0",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-03-29","11.41",",,W"," 1939",",,W"," 1940",",,W","0.65",",,W,2400",,,,,"67",",,W","71",",,W","62",",,W",,,"   10",",,W","   10",",,W","23.9",",,W","30.0",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-03-30","10.96",",,W"," 0525",",,W"," 0523",",,W","0.01",",,W,2400",,,,,"63",",,W","64",",,W","61",",,W",,,"   20",",,W","   10",",,W","17.0",",,W","21.0",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-03-31","7.61",",,W"," 1643",",,W"," 1619",",,W","0.00",",,W,2400",,,,,"65",",,W","70",",,W","60",",,W",,,"  130",",,W","  130",",,W","14.1",",,W","16.1",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-04-01",,,,,,,"0.00",",,S,2400",,,,,"69","H,,S","75",",,M","65",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-04-02",,,,,,,"0.00",",,S,2400",,,,,"71","H,,S","73",",,M","69",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-04-03",,,,,,,"0.01",",,S,2400",,,,,"72","H,,S","76",",,M","70",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-04-04",,,,,,,"0.00",",,S,2400",,,,,"71","H,,S","77",",,M","67",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-04-05",,,,,,,"0.00",",,S,2400",,,,,"73","H,,S","78",",,M","65",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-04-06",,,,,,,"0.00",",,S,2400",,,,,"72","H,,S","79",",,M","65",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-04-07",,,,,,,"0.00",",,S,2400",,,,,"73","H,,S","79",",,M","71",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-04-08",,,,,,,"0.00",",,S,2400",,,,,"74","H,,S","79",",,M","72",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-04-09",,,,,,,"0.00",",,S,2400",,,,,"75","H,,S","78",",,M","72",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-04-10",,,,,,,"0.00",",,S,2400",,,,,"75","H,,S","80",",,M","73",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-04-11",,,,,,,"0.00",",,S,2400",,,,,"76","H,,S","82",",,M","73",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-04-12",,,,,,,"0.00",",,S,2400",,,,,"76","H,,S","81",",,M","71",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-04-13",,,,,,,"0.01",",,S,2400",,,,,"75","H,,S","79",",,M","72",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-04-14",,,,,,,"0.00",",,S,2400",,,,,"76","H,,S","82",",,M","73",",,M",,,,,,,,,,,,,,,,,,,,,,
