X,Y,OBJECTID_1,OBJECTID,ID,DIST_NM,CNTY_NM,T_FLAG,AADT_2019,AADT_2018,AADT_2017,AADT_2016,AADT_2015,AADT_2014,AADT_2013,AADT_2012,AADT_2011,AADT_2010,AADT_2009,AADT_2008,AADT_2007,AADT_2006,AADT_2005,AADT_2004,AADT_2003,AADT_2002,AADT_2001,AADT_2000,ZLEVEL
-95.768845,29.159479,19858,19858,165185,Houston,Brazoria,20H73,1655,1638,2007,1951,1417,1471,1505,1450,1500,1400,1400,1400,1850,1700,1750,1750,1750,1650,1500,1600,12
-95.806938,29.168343,19859,19859,165193,Houston,Brazoria,20H71,1272,1286,1718,1746,1266,1191,1246,1200,1250,0,0,0,0,0,0,0,0,0,0,0,11
-95.792488,29.164082,19860,19860,165201,Houston,Brazoria,20H72,1913,1913,1913,1917,1334,1271,1298,1250,1300,1150,1200,1150,1550,1500,1550,1500,1400,1550,1200,1400,12
-95.692596,29.099977,19861,19861,165209,Houston,Brazoria,20H75,2190,1764,2300,2134,1786,1597,1661,1600,1600,1250,1300,1150,1450,1600,1660,1500,1400,1650,1400,1650,11
-95.685822,29.101007,19862,19862,165217,Houston,Brazoria,20H78,15000,13627,15289,15713,14065,10475,9510,9200,9200,8500,10500,8300,10200,9500,9390,9200,9300,9200,8400,10800,11
-95.687592,29.206036,19863,19863,165225,Houston,Brazoria,20H82,4250,3827,4249,4179,3707,2964,3333,3400,3100,2900,2800,3200,3600,3600,3620,3200,3600,3400,3200,3100,10
-95.775108,29.347309,19864,19864,165241,Houston,Fort Bend,80H104,6000,6334,6743,6331,6265,4756,4745,4700,4700,4500,4300,4900,5700,5800,5310,5000,5400,5500,5500,5000,11
-95.767464,29.358732,19865,19865,165249,Houston,Fort Bend,80H103,2484,2105,2185,2298,2018,1653,1912,1950,2100,1550,1500,1400,1500,1700,1600,1550,1600,1600,1200,1350,11
-95.725304,29.282389,19866,19866,165257,Houston,Brazoria,20H83,4808,4808,4972,4615,3360,3345,3307,3400,3500,3300,3100,3400,4000,3900,3930,3500,3800,3700,3700,3500,11
-95.729362,29.290213,19867,19867,165265,Houston,Brazoria,20T45,4722,4570,5293,4906,5214,3659,3353,3000,3700,3500,3500,3800,4200,4400,4330,3900,4300,4400,4900,4100,9
-95.732674,29.298983,19868,19868,165273,Houston,Brazoria,20H84,1960,1960,2245,2445,1667,1619,1879,1750,2100,2100,2500,2700,2400,2400,2000,1950,2100,2300,1950,1750,12
-95.634933,28.902666,19872,19872,165313,Houston,Brazoria,2.00E+02,2031,1972,2445,2399,2047,1618,1505,1450,1700,1750,1600,1900,1800,2100,2330,1950,1900,1900,1650,2000,12
-95.571083,28.944016,19873,19873,165321,Houston,Brazoria,20H47,2681,2508,3129,3107,3286,2129,2491,2400,2400,2400,2300,2600,2500,3000,3250,2700,2700,2500,3500,2800,10
-95.567665,28.938698,19874,19874,165329,Houston,Brazoria,20H44,679,643,784,650,690,511,685,660,720,580,510,690,640,830,950,690,820,740,740,810,12
-95.65007,28.995974,19875,19875,165337,Houston,Brazoria,20H50,4059,4059,4059,3838,3564,3035,3425,3300,3200,3000,3200,3500,3400,3600,3500,3600,3600,3300,3200,3900,11
-95.645622,29.00219,19876,19876,165345,Houston,Brazoria,20H51,4350,4494,4292,4496,3524,3410,3838,3900,3500,3100,4000,3900,4100,4000,4200,4100,4100,3900,4100,3700,12
-95.634689,29.005333,19877,19877,165353,Houston,Brazoria,20H52,7188,7414,7863,7559,7123,5311,5501,5300,5400,5500,5800,5800,5900,6300,6610,6000,5900,5400,5200,5700,11
-95.668221,29.087122,19878,19878,165361,Houston,Brazoria,20H62,844,750,637,634,694,568,611,550,540,520,580,650,550,570,500,500,450,400,490,460,12
-95.568497,29.032072,19879,19879,165369,Houston,Brazoria,20H53,6920,6757,8149,6654,7392,4817,6406,5900,4800,4800,5500,5800,5600,5800,6170,5300,5600,5100,4900,5400,10
-95.564552,29.030855,19880,19880,165377,Houston,Brazoria,20H54,6288,5777,6456,6007,7625,4218,5000,5100,5500,5400,5400,5900,7100,6200,5590,5200,5800,5500,5500,5700,11
-95.60955,29.080141,19881,19881,165385,Houston,Brazoria,20T30,6761,7220,7598,7141,7975,5910,5842,6400,6400,6500,6200,8700,8900,8600,8330,7300,7900,8000,7400,7400,9
-95.569275,29.039225,19882,19882,165393,Houston,Brazoria,20T28,10141,10634,10957,9777,11700,7877,7831,8200,9000,8800,8300,9300,11600,10500,10100,9600,9700,9400,9400,9500,11
-95.570328,29.047943,19883,19883,165401,Houston,Brazoria,20T27,12500,11234,11837,12157,12037,8892,8194,8800,9500,9200,8700,11500,12500,11000,10990,10400,10500,10300,10300,10200,9
-95.577522,29.061014,19884,19884,165409,Houston,Brazoria,20H59,14500,14242,15372,13602,14766,11315,11770,11300,12900,12400,13300,15500,16400,15000,15000,13600,14200,14000,13500,14000,11
-95.570488,29.049442,19885,19885,165417,Houston,Brazoria,20T29,15339,15719,16427,17506,17333,12591,12792,12800,14400,14100,14600,17800,18900,17000,17640,16100,15400,15000,15100,15200,9
-95.569839,29.048857,19886,19886,165425,Houston,Brazoria,20T26,13697,14946,13941,14840,12977,12006,12036,10800,7800,7200,8300,10500,11600,10800,10500,10400,10300,10200,10400,10400,11
-95.558266,29.052681,19887,19887,165433,Houston,Brazoria,20H58,15173,15376,15271,14532,14496,12947,11016,10800,9900,9500,9500,10300,11100,11500,12680,11800,11000,11300,11800,11500,9
-95.554482,29.054811,19888,19888,165441,Houston,Brazoria,20H55,276,276,316,280,447,229,9013,8700,6700,6600,6700,7400,8100,8100,9090,8400,8600,8300,8300,8200,13
-95.553673,29.06035,19889,19889,165449,Houston,Brazoria,20H57,4525,4382,2363,3662,3490,3524,3419,3600,3700,3400,3700,3700,3700,4000,3960,4100,3600,3700,3800,3500,13
-95.498268,28.897236,19890,19890,165457,Houston,Brazoria,20H45,364,331,430,339,323,269,384,370,400,370,390,390,330,490,530,400,440,440,360,400,12
-95.453926,28.874313,19891,19891,165465,Houston,Brazoria,20H46,47,27,45,30,96,17,83,80,90,50,80,70,40,60,150,80,60,80,50,80,11
-95.521042,28.989067,19892,19892,165473,Houston,Brazoria,20H42,7683,7943,8304,7846,9779,5862,7353,7500,7800,7600,8000,8500,10400,8800,9000,8600,8900,8800,8200,8400,11
-95.518013,28.98398,19893,19893,165481,Houston,Brazoria,20H43,4788,4251,5335,5561,5900,3785,3944,3800,3800,4000,4000,4200,4300,5000,5350,4500,4300,4100,4000,4500,10
-95.513702,28.986919,19894,19894,165489,Houston,Brazoria,20H42A,11428,11428,10422,10882,10670,8071,8446,9200,8300,7700,8600,8800,9500,8300,8740,9100,8700,9300,8800,8900,12
-95.493874,28.985285,19895,19895,165497,Houston,Brazoria,20H41,6050,6418,6720,5448,6784,5285,5784,5900,5500,5300,5400,6000,7000,5900,6060,5800,6300,6700,6500,5600,10
-95.510666,29.053789,19896,19896,165505,Houston,Brazoria,20H56,11855,12387,12126,13497,12434,10344,10595,8900,6900,6800,7000,7600,8500,8400,9300,9200,9000,8600,8600,8700,11
-95.454453,28.971785,19897,19897,165513,Houston,Brazoria,20T22,5938,5954,6373,5939,6793,4405,4804,4900,5600,5400,5400,6000,6900,6500,6610,6300,6600,7700,6900,6400,10
-95.429611,28.969355,19898,19898,165521,Houston,Brazoria,20H40,5877,5923,6624,6046,6783,4661,4508,5000,5700,5500,5700,6100,7300,6200,6240,6100,6500,7000,6500,6500,11
-95.430138,29.014174,19899,19899,165529,Houston,Brazoria,20T24,57592,57592,55887,47960,46921,39090,32462,40000,28000,27000,29000,30000,30000,30000,31460,28000,28000,28000,34000,27000,10
-95.471741,29.046087,19900,19900,165537,Houston,Brazoria,20H20A,8277,9302,7820,8500,7643,5616,6239,6500,6900,5700,6200,6500,7000,6300,6530,7000,6500,7400,7000,7800,12
-95.4702,29.047571,19901,19901,165545,Houston,Brazoria,20H21,16695,15172,14937,15276,16102,14002,14435,12700,10800,10900,10700,11600,12500,12300,11600,11500,12000,11800,11700,12000,9
-95.470291,29.04899,19902,19902,165553,Houston,Brazoria,20H20,9507,9507,8347,8860,7546,5293,6002,6400,6100,5500,5900,6100,7200,6100,6100,6200,6000,6900,6600,7000,12
-95.454704,29.045187,19903,19903,165561,Houston,Brazoria,20H22,61406,64828,60226,65175,28479,46214,39195,39000,30000,29000,30000,32000,32000,28000,34630,29000,30000,28000,27000,30000,13
-95.455849,29.053898,19904,19904,165569,Houston,Brazoria,20H22A,43119,43119,44568,42973,36778,30320,27513,25000,21000,21000,21000,21000,24000,22000,21530,17800,17300,16800,18600,16700,13
-95.447952,29.035341,19905,19905,165577,Houston,Brazoria,20T25,63212,66095,63921,66789,41807,48845,27823,38000,33000,31000,33000,34000,33000,34000,32000,31000,31000,35000,34000,35000,9
-95.428116,29.064461,19906,19906,165585,Houston,Brazoria,20H19,22536,23730,22001,22158,19857,11417,10995,17200,11700,11000,12000,12700,13200,12200,12390,13500,12700,13000,15100,11000,12
-95.672905,29.135315,19907,19907,165593,Houston,Brazoria,20H80A,10467,11695,12407,11391,10089,7702,5594,5400,5200,4500,5000,4500,4900,0,0,0,0,0,0,0,10
-95.667206,29.147442,19909,19909,165609,Houston,Brazoria,20H80,13200,14218,14563,14664,13127,10271,3322,3200,2900,2800,3000,2800,3200,3300,3360,3200,3200,3300,3000,3100,9
-95.656845,29.135084,19910,19910,165617,Houston,Brazoria,20H79,4714,4259,4931,4946,4416,3656,3419,3300,3400,3100,4100,9800,10000,9700,9540,10000,9600,9500,9200,11100,13
-95.653465,29.138536,19911,19911,165625,Houston,Brazoria,20T32,5791,6190,6343,6093,7363,5456,6047,5400,6600,6100,7500,9200,9500,9300,8680,8900,7800,7900,7500,7700,9
-95.652771,29.137289,19912,19912,165633,Houston,Brazoria,20T31,8353,8861,9803,8707,10197,6540,7597,7600,8600,8500,8500,10600,10400,11000,10500,9600,9300,9700,8000,7700,11
-95.65239,29.138641,19913,19913,165641,Houston,Brazoria,20T33,7560,6036,6751,6982,6893,5754,5076,4900,5000,4800,5800,10200,10400,10100,10170,9400,9400,9400,9600,10200,13
-95.656387,29.143982,19914,19914,165649,Houston,Brazoria,20T38,5370,5742,6228,5930,6882,4944,5164,5200,6100,5600,6800,8700,9200,8600,8440,7400,8100,8000,7600,7300,11
-95.657028,29.14687,19915,19915,165657,Houston,Brazoria,20T37,14148,15188,16183,15925,14290,11582,10360,10000,9800,9000,10100,9400,6800,6700,5810,6200,5800,5800,5600,5500,10
-95.65934,29.147434,19916,19916,165665,Houston,Brazoria,20T39,14194,13283,15832,15259,13805,11215,10774,10400,9900,8500,10000,8900,4900,4900,3700,4300,4200,4100,3900,4100,11
-95.659966,29.150696,19917,19917,165673,Houston,Brazoria,20H81,5174,5193,5826,5463,4017,3993,4412,4500,5200,4900,5500,7000,7600,7300,6950,6100,6500,6600,5700,5600,9
-95.642212,29.113426,19918,19918,165681,Houston,Brazoria,20H61,1560,1511,1466,1491,1633,1190,1176,1200,1150,1000,1250,1350,1300,1350,1240,1350,1100,1150,1150,1200,12
-95.640785,29.114304,19919,19919,165689,Houston,Brazoria,20H60,7648,7910,8431,7998,8734,6683,6882,7300,7300,7600,7000,9400,9700,9000,9350,8300,8500,9100,8100,8200,10
-95.648247,29.143721,19920,19920,165697,Houston,Brazoria,20T34,9121,7642,7953,8259,7611,7033,5180,5000,6200,6600,7400,11300,12000,11000,10910,11100,10500,10600,10600,11200,13
-95.648598,29.144735,19921,19921,165705,Houston,Brazoria,20T36,14176,14811,14384,15398,13629,11479,10671,10300,9600,8800,10200,8800,6100,6000,5330,6100,5600,5600,5800,5800,13
-95.647133,29.144354,19922,19922,165713,Houston,Brazoria,20T35,19000,18700,19370,16219,18832,12154,13119,12700,11600,11600,13300,12300,10700,11600,11780,12900,11600,11500,11700,11400,11
-95.6409,29.144093,19923,19923,165721,Houston,Brazoria,20H86,972,990,1097,1159,1165,849,1078,1100,990,890,910,940,930,1050,1290,1200,1350,1200,1400,1150,11
-95.641914,29.161774,19924,19924,165729,Houston,Brazoria,20H85,129,105,145,147,110,90,116,120,60,60,90,140,180,160,180,140,140,160,120,110,12
-95.62542,29.142969,19925,19925,165737,Houston,Brazoria,20H87,19048,19048,18318,18480,17379,5940,11667,11900,10600,10000,11000,11300,10700,10700,11090,10700,10400,10400,11300,11600,9
-95.604813,29.143663,19926,19926,165745,Houston,Brazoria,20H88,17400,16947,17375,17571,16647,5419,10980,11200,10200,9500,10500,10500,10000,9900,10470,10300,9700,9600,10000,10600,11
-95.64402,29.351791,19927,19927,165753,Houston,Fort Bend,80H94,3688,2526,2773,2014,1918,892,2059,2100,2500,2000,2400,3200,3100,3000,3030,2700,2600,2600,2500,2200,10
-95.637245,29.351885,19928,19928,165761,Houston,Fort Bend,80H93,5357,3886,3495,3683,3508,3218,3460,3200,3700,3000,3500,4300,4200,3800,3820,3800,3900,3900,3900,3100,12
-95.641289,29.355133,19929,19929,165769,Houston,Fort Bend,80H95,2750,2364,2377,2973,2231,1935,2217,2000,2100,1650,2000,1750,1950,2600,2260,2200,2500,2100,2300,1650,11
-95.527985,29.146095,19930,19930,165777,Houston,Brazoria,20H89,18265,18265,17313,17811,16844,11258,10980,11200,10400,9800,10500,10700,10000,10000,10300,10100,9700,9600,12100,10700,11
-95.514198,29.146124,19931,19931,165785,Houston,Brazoria,20H1,4207,4292,4355,4073,4479,3202,3356,3400,3500,3100,3400,3400,3400,3800,3700,4200,3300,3400,3600,3300,11
-95.508598,29.154341,19932,19932,165793,Houston,Brazoria,20H3,7010,6701,6521,6350,4599,4469,4494,4500,4600,3900,4600,4600,5000,5300,4800,4800,4400,4700,4800,4400,12
-95.495972,29.155497,19933,19933,165801,Houston,Brazoria,20H2,15110,15426,15664,16139,15164,11891,10686,10900,9800,9300,8800,9000,9000,9200,8650,9700,9700,9000,9200,10000,10
-95.422958,29.119823,19934,19934,165809,Houston,Brazoria,20H11,13500,12601,11160,11735,11944,9304,11176,11400,12400,12200,11800,12700,13900,12600,13940,13700,13200,12500,12700,12800,13
-95.451988,29.144865,19935,19935,165817,Houston,Brazoria,20H9B,38576,39454,42672,29351,28694,23162,27721,26000,25000,25000,22000,23000,25000,23000,22000,21000,19900,22000,20000,19500,9
-95.427399,29.138142,19936,19936,165825,Houston,Brazoria,20T8,13304,13304,11781,12930,14096,10679,11200,11500,12500,11700,12200,13200,14400,13400,14800,14800,13600,13200,12600,12900,13
-95.43325,29.162634,19937,19937,165833,Houston,Brazoria,20H9D,14558,12772,12539,12927,13959,10970,11291,11000,12600,11100,11400,12200,14700,14000,16400,13700,11170,11000,10700,1100,13
-95.431633,29.157175,19938,19938,165841,Houston,Brazoria,20H9E,18496,17642,16698,16971,13991,11049,11177,14400,12600,11100,11400,12500,14600,14000,16360,13600,11700,10800,10000,1000,13
-95.482834,29.189672,19939,19939,165849,Houston,Brazoria,20H3A,3626,3597,3893,3400,3029,2391,2799,2700,2600,2100,2500,2500,3300,3400,2700,2600,2200,2200,2500,2300,10
-95.476456,29.200191,19940,19940,165857,Houston,Brazoria,20H4,3677,3365,3324,3348,2476,2407,2252,2300,2300,2100,2500,2300,2600,2800,2960,2600,2500,2700,2800,2400,12
-95.473076,29.210678,19941,19941,165865,Houston,Brazoria,20H5,5533,4941,4941,5008,5272,3649,3667,3700,3900,3400,3600,3500,3900,4100,4220,3900,3600,4000,4000,3500,10
-95.457512,29.197571,19942,19942,165873,Houston,Brazoria,20H4A,4573,5183,5081,4327,3856,3278,3563,3500,3600,2900,3300,3300,4100,4600,3990,3600,4700,3300,3600,0,13
-95.453133,29.16572,19943,19943,165881,Houston,Brazoria,20H9A,34582,34272,39184,39050,27922,23965,19154,24000,24000,22000,21000,21000,25000,20000,21840,18800,17300,19300,19800,18300,10
-95.440903,29.163883,19944,19944,165889,Houston,Brazoria,20H9,17000,16986,15570,15568,15262,12888,11726,12900,12100,11300,12200,12800,13600,13900,13600,14600,13600,12600,12700,12800,11
-95.434227,29.164345,19945,19945,165897,Houston,Brazoria,20T10,17176,17176,16804,16792,16429,14105,13922,14200,13400,12900,13700,15300,16200,15500,15500,17000,15500,15000,15100,14900,10
-95.433479,29.166048,19946,19946,165905,Houston,Brazoria,20H9C,16770,15664,14827,15359,15808,12663,13549,12500,14300,13300,13100,14100,14400,14600,17200,14500,14100,12000,13900,1100,13
-95.432434,29.164433,19947,19947,165913,Houston,Brazoria,20T2,11464,12143,11492,11279,11153,8998,9510,9700,8700,9800,10200,11000,12200,10200,9280,10700,10200,10500,10300,10500,10
-95.431763,29.165112,19948,19948,165921,Houston,Brazoria,20T1,2498,3042,2733,3075,3388,3147,2754,2700,4000,3600,4200,5200,5000,5400,4760,4300,4300,4800,4700,12500,13
-95.431664,29.16371,19949,19949,165929,Houston,Brazoria,20T9,3062,3581,3271,3819,3845,3645,2958,2900,3600,4200,4500,4800,5300,4900,5600,5300,5500,5100,4500,12400,13
-95.432541,29.174759,19950,19950,165937,Houston,Brazoria,20H7A,17500,15970,15893,16875,17253,14270,15736,15500,15800,14500,14300,16600,16200,15400,18270,15700,15000,12900,13300,1000,13
-95.432678,29.178749,19951,19951,165945,Houston,Brazoria,20H7,22250,21374,19871,21746,20141,18738,18967,17700,19200,17600,17800,19700,20000,23000,22950,24000,20000,17800,18400,18300,13
-95.424789,29.164574,19952,19952,165953,Houston,Brazoria,20T3,11212,11813,11200,11322,11510,9807,9346,10200,9600,9400,9700,10500,11100,10500,10470,11000,10800,11100,10700,10600,11
-95.45256,29.198738,19953,19953,165961,Houston,Brazoria,20H6A,28484,28554,28569,30773,26958,21581,19669,19300,19000,18500,16700,17900,15000,14500,14700,14900,13400,14500,14000,14300,13
-95.446732,29.197277,19954,19954,165969,Houston,Brazoria,20H6B,7387,9215,8234,7491,6686,5756,6543,5900,5500,4500,5000,5000,5900,6500,5340,5000,6400,5100,5000,5000,10
-95.435677,29.205692,19955,19955,165977,Houston,Brazoria,20H6,9250,8788,8024,8899,9373,7771,7800,7500,9100,8100,8500,10700,11400,11000,10820,11900,10300,9200,9600,10600,13
-95.536362,29.295771,19956,19956,165985,Houston,Brazoria,20D1A,569,531,718,584,559,565,641,580,570,0,0,0,0,0,0,0,0,0,0,0,13
-95.45343,29.277946,19957,19957,165993,Houston,Brazoria,20H151,5250,5030,5068,5491,4754,3920,4098,3500,3800,3500,3800,4200,4200,4100,4430,4400,4300,4100,4600,4200,13
-95.455208,29.280142,19958,19958,166001,Houston,Brazoria,20H90,1534,1534,1584,1454,1707,1154,1275,1300,1400,1050,1200,1150,1250,1400,1160,1150,1000,1200,1200,1050,12
-95.44799,29.264067,19959,19959,166009,Houston,Brazoria,20SP203,30638,29234,33863,34287,29382,23214,26160,25000,24000,24000,23000,21000,22000,21000,22000,22000,21000,21000,20000,19300,10
-95.428513,29.2945,19960,19960,166017,Houston,Brazoria,20H150,33201,33564,34851,35015,28897,24336,24120,24000,25000,24000,24000,24000,23000,22000,24000,22000,21000,22000,21000,20000,11
-95.45359,29.302628,19961,19961,166025,Houston,Brazoria,20H153,1937,1997,2027,2201,2185,2170,2196,2000,1950,2100,2100,2200,2300,2200,2800,2800,2500,2600,2400,2600,10
-95.474045,29.353615,19962,19962,166033,Houston,Brazoria,20H154,6000,4124,5142,6332,4649,3681,4265,3700,4600,0,0,5400,5100,5400,4610,4600,4800,5300,3400,3500,12
-95.461723,29.35253,19963,19963,166041,Houston,Brazoria,20T58,7046,6865,6912,7204,6510,5572,5196,5300,5200,5200,5500,6000,5500,5900,5600,5600,5100,4800,4700,5100,11
-95.463203,29.354017,19964,19964,166049,Houston,Brazoria,20T59,7210,5495,5926,5540,5276,4344,4779,4200,5100,5200,6300,6400,5600,6100,6800,6700,5100,6200,4100,4200,12
-95.462685,29.355198,19965,19965,166057,Houston,Brazoria,20T60,5798,5798,5615,5822,5431,4565,4396,4400,4500,4000,4600,4600,4500,5100,4300,4300,4100,4100,4400,4100,11
-95.45739,29.354136,19966,19966,166065,Houston,Brazoria,20H155,6250,5175,4818,5941,4595,3943,4741,4600,4600,3800,4400,5500,4800,5300,4730,4400,4800,4300,4500,3200,12
-95.451935,29.301123,19967,19967,166073,Houston,Brazoria,20H152,6261,6518,6531,7192,6087,5175,4460,4900,4800,4700,5300,4900,5100,5300,5000,4800,5100,5300,5500,4900,11
-95.450378,29.312071,19968,19968,166081,Houston,Brazoria,20D201,6892,7310,7109,7298,6601,5374,5507,5300,5300,0,0,0,0,0,0,0,0,0,0,0,12
-95.374748,28.945301,19969,19969,166089,Houston,Brazoria,20H38A,9227,9227,9288,5508,5453,4901,5588,5700,6400,6200,6800,7000,8900,7400,7300,7200,7500,7000,7800,7700,9
-95.374054,28.95673,19970,19970,166097,Houston,Brazoria,20H36,13890,13890,13070,10998,10889,9527,10686,10900,10900,11000,11100,11100,11300,11200,10700,10100,9700,11700,11000,9800,11
-95.355881,28.960745,19971,19971,166105,Houston,Brazoria,20T16,10657,10657,9167,10135,9285,7291,8519,7300,6600,6600,7100,7700,8400,9200,8500,8300,7600,5900,7100,7700,11
-95.355103,28.960993,19972,19972,166113,Houston,Brazoria,20T17,5164,5926,6263,6466,5760,3833,3468,3400,3300,3100,3800,3800,4400,4700,4260,4200,3900,3200,3800,4600,12
-95.34893,28.934832,19973,19973,166121,Houston,Brazoria,20H34,5727,6767,5314,1335,1296,1170,1618,1650,1300,1300,2000,2300,1900,1600,1590,1350,1600,1600,2000,1550,11
-95.349724,28.938728,19974,19974,166129,Houston,Brazoria,20H35,5833,5037,5046,2669,2643,2353,2843,2900,3300,3100,4600,4600,4900,3900,3800,3700,4100,3800,3800,3600,11
-95.347969,28.939371,19975,19975,166137,Houston,Brazoria,20T20,5000,5435,4482,4119,3999,3726,3333,3400,3200,3000,4100,4400,4900,4500,4410,4000,3400,5000,4200,4900,10
-95.345261,28.94713,19976,19976,166145,Houston,Brazoria,20T19,5834,6787,5904,4389,4261,3970,4359,4600,4300,4400,4700,5300,6000,5500,4800,4700,4500,6000,5900,5300,12
-95.34243,28.957293,19977,19977,166153,Houston,Brazoria,20T18,6064,6919,6139,4786,4647,4333,4582,4600,5800,5800,5100,5000,5600,4900,4400,4300,4400,5500,7100,5800,13
-95.297981,28.959782,19978,19978,166161,Houston,Brazoria,20H30A,7638,6913,7946,7549,7412,5687,5528,5500,3700,3000,4000,4200,4800,4500,5290,5100,4800,4000,5900,7100,11
-95.398811,29.007645,19979,19979,166169,Houston,Brazoria,20H25,42918,43218,42789,47502,41736,31504,25441,30000,23000,25000,25000,26000,25000,24000,25000,24000,25000,25000,26000,25000,10
-95.392311,29.012501,19980,19980,166177,Houston,Brazoria,20H24,15893,16231,14991,18631,16885,13426,14037,13700,15000,13400,13600,15200,15700,14700,16310,15000,15600,14900,15100,15700,13
-95.384872,28.997366,19981,19981,166185,Houston,Brazoria,20T23,33594,33805,32884,32863,33641,26974,21196,23000,25000,23000,24000,26000,29000,25000,28280,27000,24000,25000,25000,24000,9
-95.377899,28.984413,19982,19982,166193,Houston,Brazoria,20H39,32000,30103,28450,28536,29686,21685,23836,22000,22000,21000,20000,22000,23000,22000,25700,24000,23000,22000,22000,22000,13
-95.370872,28.96855,19983,19983,166201,Houston,Brazoria,20T13,21509,21509,19480,21213,21610,15475,16392,15600,16000,15200,16700,19400,17400,16400,17500,16500,15900,17100,14100,15500,10
-95.369774,28.968712,19984,19984,166209,Houston,Brazoria,20T15,12638,12638,11214,10246,9948,9307,8806,8500,8800,8900,9000,8300,9800,10700,9700,9600,8900,8000,8300,8700,12
